compound,smiles,source_row,duplicate_name_count
Magnolol,C=CCc1ccc(c(c1)c1cc(CC=C)ccc1O)O,191,1
Serotonin,NCCc1c[nH]c2c1cc(O)cc2,378,1
Sennoside A,OC[C@H]1O[C@@H](Oc2cccc3c2C(=O)c2c([C@@H]3[C@H]3c4cc(cc(c4C(=O)c4c3cccc4O[C@@H]3O[C@H](CO)[C@H]([C@@H]([C@H]3O)O)O)O)C(=O)[O-])cc(cc2O)C(=O)[O-])[C@@H]([C@H]([C@@H]1O)O)O,594,1
Rhein,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)C(=O)O,350,1
Quinalizarin,Oc1c(O)ccc2c1C(=O)c1c(C2=O)c(O)ccc1O,339,1
Aloe-Emodin,C1=CC2=C(C(=C1)O)C(=O)C3=C(C2=O)C=C(C=C3O)CO,854,1
Resveratrol 4'-Methyl Ether,COc1ccc(cc1)/C=C/c1cc(O)cc(c1)O,346,1
Anthraquinone,O=C1c2ccccc2C(=O)c2c1cccc2,884,1
Purpurin,Oc1c(O)cc(c2c1C(=O)c1ccccc1C2=O)O,323,1
Rhaponticin,OC[C@H]1O[C@@H](Oc2cc(/C=C/c3ccc(c(c3)O)OC)cc(c2)O)[C@@H]([C@H]([C@@H]1O)O)O,690,1
Rhapontigenin,COC1=C(C=C(C=C1)C=CC2=CC(=CC(=C2)O)O)O,749,1
Honokiol,C=CCC1=CC(=C(C=C1)O)C2=CC(=C(C=C2)O)CC=C,117,1
Physcion,COc1cc(O)c2c(c1)C(=O)c1c(C2=O)c(O)cc(c1)C,292,1
Tyrosol,OCCc1ccc(cc1)O,448,1
Mannitol,OC[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O,194,1
Forsythiaside,O=C(O[C@@H]1[C@@H](CO[C@@H]2O[C@@H](C)[C@@H]([C@H]([C@H]2O)O)O)O[C@H]([C@@H]([C@H]1O)O)OCCc1ccc(c(c1)O)O)/C=C/c1ccc(c(c1)O)O,80,1
Aucubin,C1=COC(C2C1C(C=C2CO)O)OC3C(C(C(C(O3)CO)O)O)O,986,1
Geniposide,COC(=O)C1=COC(C2C1CC=C2CO)OC3C(C(C(C(O3)CO)O)O)O,618,1
Raffinose,C(C1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3(C(C(C(O3)CO)O)O)CO)O)O)O)O)O)O)O,666,2
Catalpol,C1=COC(C2C1C(C3C2(O3)CO)O)OC4C(C(C(C(O4)CO)O)O)O,1144,1
Uridine,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1ccc(nc1=O)O,451,1
Methylthioadenosine,CSC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2N,208,1
Protocatechualdehyde,C1=CC(=C(C=C1C=O)O)O,316,1
Cinnamaldehyde,C1=CC=C(C=C1)C=CC=O,1167,1
Fluoranthene,C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4,75,1
Inosine,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1ncnc2O,134,1
Neoechinulin A,C=CC(c1[nH]c2c(c1/C=C/1N=C(O)[C@@H](N=C1O)C)cccc2)(C)C,521,1
Niacinamide,OC(=N)c1cccnc1,232,1
Trigonelline,C[n+]1cccc(c1)C(=O)[O-],440,1
"(1S)-1-Methyl-1,2,3,4-Tetrahydroisoquinoline-6,7-Diol",C[C@@H]1NCCc2c1cc(O)c(c2)O,753,1
Inositol,O[C@@H]1[C@H](O)[C@H](O)[C@H]([C@@H]([C@H]1O)O)O,135,2
"1-(4-Hydroxy-Benzyl)-1,2,3,4-Tetrahydro-Isoquinoline-6,7-Diol",C1CNC(C2=CC(=C(C=C21)O)O)CC3=CC=C(C=C3)O,471,1
Aconitine,COC[C@@]12C[NH+](CC)C3[C@]4([C@@H]2[C@@H](OC)[C@@H]3[C@@]2([C@@H]3[C@H]4C[C@@]([C@@H]3OC(=O)c3ccccc3)([C@H]([C@@H]2O)OC)O)OC(=O)C)[C@H](C[C@H]1O)OC,660,2
Procyanidin B2,C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O,512,1
Astragaloside Iv,OC[C@H]1O[C@@H](O[C@H]2C[C@@H]3[C@]4([C@@]5([C@H]2C(C)(C)[C@H](CC5)O[C@@H]2OC[C@H]([C@@H]([C@H]2O)O)O)C4)CC[C@]2([C@@]3(C)C[C@@H]([C@@H]2[C@@]2(C)CC[C@H](O2)C(O)(C)C)O)C)[C@@H]([C@H]([C@@H]1O)O)O,902,1
Isorhamnetin,COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O,147,1
Biochanin,COc1ccc(cc1)c1coc2c(c1=O)c(O)cc(c2)O,1113,1
Cycloastragenol,O[C@H]1C[C@@]2([C@]([C@H]1[C@@]1(C)CC[C@H](O1)C(O)(C)C)(C)CC[C@@]13[C@H]2C[C@H](O)[C@H]2[C@]3(C1)CC[C@@H](C2(C)C)O)C,817,1
Guaiol,C[C@H]1CC[C@H](CC2=C1CC[C@@H]2C)C(O)(C)C,659,1
Morin,C1=CC(=C(C=C1O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,212,3
Estradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,51,1
Allantoin,OC(=N)NC1N=C(N=C1O)O,844,1
Alfatradiol,CC12CCC3C(C1CCC2O)CCC4=C3C=CC(=C4)O,842,1
Eucalyptol,CC1(C2CCC(O1)(CC2)C)C,59,1
Ascorbate,OC[C@@H]([C@H]1OC(=O)C(=C1O)O)O,899,1
Auraptene,C/C(=C\COc1ccc2c(c1)oc(=O)cc2)/CCC=C(C)C,1003,1
Acetylcholine,CC(=O)OCC[N+](C)(C)C,827,1
Flavonol,O=c1c(O)c(oc2c1cccc2)c1ccccc1,74,1
Zeaxanthin,O[C@@H]1CC(=C(C(C1)(C)C)/C=C/C(=C/C=C/C(=C/C=C/C=C(/C=C/C=C(/C=C/C1=C(C)C[C@H](CC1(C)C)O)\C)\C)/C)/C)C,714,1
Osthole,CC(=CCC1=C(C=CC2=C1OC(=O)C=C2)OC)C,257,1
Terbutaline,OC(c1cc(O)cc(c1)O)CNC(C)(C)C,415,1
Tannic Acid,C1=C(C=C(C(=C1O)O)O)C(=O)OC2=CC(=CC(=C2O)O)C(=O)OCC3C(C(C(C(O3)OC(=O)C4=CC(=C(C(=C4)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O)OC(=O)C6=CC(=C(C(=C6)OC(=O)C7=CC(=C(C(=C7)O)O)O)O)O)OC(=O)C8=CC(=C(C(=C8)OC(=O)C9=CC(=C(C(=C9)O)O)O)O)O)OC(=O)C1=CC(=C(C(=C1)OC(=O)C1=CC(=C(C(=C1)O)O)O)O)O,407,1
Platycodin D,CC1C(C(C(C(O1)OC2C(C(COC2OC(=O)C34CCC(CC3C5=CCC6C(C5(CC4O)C)(CCC7C6(CC(C(C7(CO)CO)OC8C(C(C(C(O8)CO)O)O)O)O)C)C)(C)C)O)O)O)O)OC9C(C(C(CO9)O)OC1C(C(CO1)(CO)O)O)O,644,1
Α-Spinasterol,CC[C@@H](C(C)C)/C=C/[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1C2=CC[C@@H]2[C@]1(C)CC[C@@H](C2)O)C,726,1
Hyperoside,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)O,123,1
Saikosaponin D,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O,617,1
Aspartic Acid,OC(=O)C[C@@H](C(=O)O)N,903,1
Saikosaponin A,CC1C(C(C(C(O1)OC2CCC3(C(C2(C)CO)CCC4(C3C=CC56C4(CC(C7(C5CC(CC7)(C)C)CO6)O)C)C)C)O)OC8C(C(C(C(O8)CO)O)O)O)O,648,1
Nonanoic Acid,CCCCCCCCC(=O)O,559,1
Glycinebetaine,C[N+](C)(C)CC(=O)[O-],102,1
(+/-)Nicotine,CN1CCCC1C2=CN=CC=C2,615,1
Galactose,OC[C@H]1OC(O)[C@@H]([C@H]([C@H]1O)O)O,549,1
Isoguvacine,C1CNCC=C1C(=O)O,140,1
Gallocatechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,87,1
Arecoline,COC(=O)C1=CCCN(C1)C,892,1
Scopolin,OC[C@H]1O[C@@H](Oc2cc3oc(=O)ccc3cc2OC)[C@@H]([C@H]([C@@H]1O)O)O,374,2
Byakangelicin,COc1c2ccoc2c(c2c1ccc(=O)o2)OC[C@H](C(OC)(C)C)O,835,2
Bergaptol,C1=CC(=O)OC2=CC3=C(C=CO3)C(=C21)O,1099,1
Retinol,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C,348,1
Osthenol,CC(=CCc1c(O)ccc2c1oc(=O)cc2)C,256,1
Endosulfan,O=S1OCC2C(CO1)C1(C(C2(Cl)C(=C1Cl)Cl)(Cl)Cl)Cl,38,1
Anonaine,C1CNC2CC3=CC=CC=C3C4=C2C1=CC5=C4OCO5,638,1
Obovatol,C=CCc1cccc(c1)Oc1cc(CC=C)cc(c1O)O,858,1
Atenolol,OC(COc1ccc(cc1)CC(=N)O)CNC(C)C,924,1
Nifedipine,COC(=O)C1=C(C)NC(=C(C1c1ccccc1N(=O)=O)C(=O)OC)C,234,1
Sesamol,C1OC2=C(O1)C=C(C=C2)O,381,1
Sesamin,C1C2C(COC2C3=CC4=C(C=C3)OCO4)C(O1)C5=CC6=C(C=C5)OCO6,380,1
Aristolochic Acid,COc1cccc2c1cc(N(=O)=O)c1c2c2OCOc2cc1C(=O)O,893,1
Gefitinib,COc1cc2ncnc(c2cc1OCCCN1CCOCC1)Nc1ccc(c(c1)Cl)F,95,1
Centaureidin,COC1=C(C=C(C=C1)C2=C(C(=O)C3=C(O2)C=C(C(=C3O)OC)O)OC)O,1149,1
Eupatorin,COc1cc2oc(cc(=O)c2c(c1OC)O)c1ccc(c(c1)O)OC,63,1
Scoparone,COC1=C(C=C2C(=C1)C=CC(=O)O2)OC,372,1
Epigallocatechin,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O,42,1
Genipin,COC(=O)C1=COC(C2C1CC=C2CO)O,507,1
Epigalocatechin Gallate,C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O,43,1
3-Methyl-1H-Indole,Cc1c[nH]c2c1cccc2,739,1
Diosmetin,COc1ccc(cc1O)c1cc(=O)c2c(o1)cc(cc2O)O,23,1
Lutein,C/C(=C\C=C\C=C(\C=C\C=C(\C=C\C1=C(C)C[C@H](CC1(C)C)O)/C)/C)/C=C/C=C(/C=C/[C@H]1C(=C[C@@H](CC1(C)C)O)C)\C,720,1
Crocin,CC(=CC=CC=C(C)C=CC=C(C)C(=O)OC1C(C(C(C(O1)COC2C(C(C(C(O2)CO)O)O)O)O)O)O)C=CC=C(C)C(=O)OC3C(C(C(C(O3)COC4C(C(C(C(O4)CO)O)O)O)O)O)O,718,1
Α-Crocetin,CC(=CC=CC=C(C)C=CC=C(C)C(=O)O)C=CC=C(C)C(=O)O,717,1
Triolein,CCCCCCCC/C=C\CCCCCCCC(=O)OC(COC(=O)CCCCCCC/C=C\CCCCCCCC)COC(=O)CCCCCCC/C=C\CCCCCCCC,765,1
sitosterol,CC[C@@H](C(C)C)CC[C@H]([C@H]1CC[C@@H]2[C@]1(C)CC[C@H]1[C@H]2CC=C2[C@]1(C)CC[C@H](C2)O)C,804,1
estrone,Oc1ccc2c(c1)CC[C@@H]1[C@H]2CC[C@@]2([C@H]1CCC2=O)C,778,1
Prunetin,COc1cc(O)c2c(c1)occ(c2=O)c1ccc(cc1)O,318,1
Vitamin E,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C,462,1
Geraniin,O=C(c1cc(O)c(c(c1)O)O)O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(c(c3c3c(C(=O)O[C@@H]4[C@H]1OC(=O)c1cc(O)c(c5c1[C@@H]1C(=CC(=O)[C@](O5)(C1(O)O)O)C(=O)O[C@H]24)O)cc(O)c(c3O)O)O)O,506,1
Corosolic Acid,C[C@@H]1CC[C@]2([C@@H]([C@H]1C)C1=CC[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)C[C@@H](O)[C@@H](C1(C)C)O)C(=O)O,1178,1
Progesterone,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C,309,1
Boswellic Acid,C[C@@H]1CC[C@]2([C@@H]([C@H]1C)C1=CC[C@H]3[C@@]([C@@]1(CC2)C)(C)CC[C@@H]1[C@]3(C)CC[C@H]([C@]1(C)C(=O)O)O)C,1119,1
Lupeol,CC(=C)C1CCC2(C1C3CCC4C5(CCC(C(C5CCC4(C3(CC2)C)C)(C)C)O)C)C,186,1
"Dipentene,L-Limonene",CC1=CCC(CC1)C(=C)C,667,1
Isoferulic Acid,COC1=C(C=C(C=C1)C=CC(=O)O)O,139,1
Visnagin,COc1c2c(=O)cc(oc2cc2c1cco2)C,555,1
Menthone,CC1CCC(C(=O)C1)C(C)C,580,1
Ursolic Acid,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,456,1
Kurarinol,COc1cc(O)c(c2c1C(=O)C[C@H](O2)c1ccc(cc1O)O)C[C@H](C(=C)C)CCC(O)(C)C,158,1
Herbacetin,Oc1ccc(cc1)c1oc2c(O)c(O)cc(c2c(=O)c1O)O,475,1
Phenethylamine,NCCc1ccccc1,285,1
Maackiain,Oc1ccc2c(c1)OC[C@@H]1[C@H]2Oc2c1cc1c(c2)OCO1,190,1
Xanthohumol,COc1cc(O)c(c(c1C(=O)/C=C/c1ccc(cc1)O)O)CC=C(C)C,466,1
Rutaecarpine,C1CN2C(=NC3=CC=CC=C3C2=O)C4=C1C5=CC=CC=C5N4,357,2
Trioxsalen,Cc1cc2c(o1)c(C)c1c(c2)c(C)cc(=O)o1,441,1
Tubocurarine,COc1cc2CCN([C@@H]3c2cc1Oc1cc(ccc1O)C[C@@H]1c2c(CC[N+]1(C)C)cc(c(c2Oc1ccc(C3)cc1)O)OC)C,446,1
Phellodendrine,COc1cc2C[N@+]3(C)CCc4c([C@@H]3Cc2cc1O)cc(c(c4)OC)O,704,1
Betunolic Acid,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CCC(=O)C1(C)C)C(=O)O,1106,1
Betulin,OC[C@@]12CC[C@H]([C@@H]2[C@@H]2[C@](CC1)(C)[C@]1(C)CC[C@@H]3[C@]([C@H]1CC2)(C)CC[C@@H](C3(C)C)O)C(=C)C,1104,1
20-Hydroxyecdysone,CC12CCC3C(=CC(=O)C4C3(CC(C(C4)O)O)C)C1(CCC2C(C)(C(CCC(C)(C)O)O)O)O,629,1
Arjunolic Acid,OC[C@]1(C)[C@@H](O)[C@H](O)C[C@]2([C@H]1CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2CC(CC1)(C)C)C(=O)O)C)C,894,1
Lycorine,C1CN2CC3=CC4=C(C=C3C5C2C1=CC(C5O)O)OCO4,189,1
Flavone,C1=CC=C(C=C1)C2=CC(=O)C3=CC=CC=C3O2,73,1
Nootkatone,O=C1C[C@@H](C)[C@]2(C(=C1)CC[C@H](C2)C(=C)C)C,238,1
Piceid,C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O,295,1
Α-Cyperone,CC(=C)[C@@H]1CC[C@@]2(C(=C(C)C(=O)CC2)C1)C,773,1
Schisandrol A,COc1c(OC)cc2c(c1OC)c1c(cc(c(c1OC)OC)OC)C[C@@H]([C@@](C2)(C)O)C,700,1
Nordihydroguaiaretic Acid,CC(C(Cc1ccc(c(c1)O)O)C)Cc1ccc(c(c1)O)O,240,2
Schisandrol B,COc1cc2C[C@H](C)[C@@](C)(O)Cc3c(c2c(c1OC)OC)c(OC)c1c(c3)OCO1,867,1
Cholesterol,CC(CCCC(C1CCC2C1(C)CCC1C2CC=C2C1(C)CCC(C2)O)C)C,533,2
Phytanic Acid,C[C@@H](CCCC(CC(=O)O)C)CCC[C@@H](CCCC(C)C)C,293,1
"Vitamin Eγ,Γ-Tocopherol",CC1=C(C=C2CCC(OC2=C1C)(C)CCCC(C)CCCC(C)CCCC(C)C)O,605,1
Citropten,COc1cc(OC)c2c(c1)oc(=O)cc2,1173,1
Schisandrin A,COc1c2c(C[C@H](C)[C@@H](Cc3c2c(OC)c(c(c3)OC)OC)C)cc(c1OC)OC,370,1
Borneol,O[C@@H]1CC2C(C1(C)CC2)(C)C,671,3
Asiatic Acid,OC[C@]1(C)[C@@H](O)[C@H](O)C[C@]2([C@H]1CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2[C@@H](C)[C@@H](CC1)C)C(=O)O)C)C,900,1
Cyanidin,Oc1cc(O)c2c(c1)[o+]c(c(c2)O)c1ccc(c(c1)O)O,1191,1
Kojic Acid,OCc1occ(c(=O)c1)O,157,1
Sakuranetin,COc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccc(cc1)O,363,1
Cyanidin Chloride,C1=CC(=C(C=C1C2=[O+]C3=CC(=CC(=C3C=C2O)O)O)O)O.[Cl-],1192,1
Daidzin,C1=CC(=CC=C1C2=COC3=C(C2=O)C=CC(=C3)OC4C(C(C(C(O4)CO)O)O)O)O,1204,1
Coumestrol,C1=CC2=C(C=C1O)OC3=C2C(=O)OC4=C3C=CC(=C4)O,1185,1
"5-Hydroxy-3-(4-Hydroxyphenyl)-7-[3,4,5-Trihydroxy-6-(Hydroxymethyl)Oxan-2-Yl]Oxychromen-4-One",C1=CC(=CC=C1C2=COC3=CC(=CC(=C3C2=O)O)OC4C(C(C(C(O4)CO)O)O)O)O,789,1
Pinostrobin,COc1cc2O[C@@H](CC(=O)c2c(c1)O)c1ccccc1,499,1
10-Gingerol,CCCCCCCCC[C@@H](CC(=O)CCc1ccc(c(c1)OC)O)O,649,1
Melatonin,COc1ccc2c(c1)c(CCN=C(O)C)c[nH]2,198,1
Acetaldehyde,CC=O,819,1
[6]-Gingerol,CCCCC[C@@H](CC(=O)CCc1ccc(c(c1)OC)O)O,683,1
"(1E,6E)-1,7-Bis(4-Hydroxy-3-Methoxyphenyl)Hepta-1,6-Diene-3,5-Dione",COC1=C(C=CC(=C1)C=CC(=O)CC(=O)C=CC2=CC(=C(C=C2)O)OC)O,715,1
Apocynin,COc1cc(ccc1O)C(=O)C,888,1
Zingiberene,CC(=CCC[C@@H]([C@H]1CC=C(C=C1)C)C)C,606,1
10-Dehydrogingerdione,CCCCCCCCCC(=CC(=O)/C=C/c1ccc(c(c1)OC)O)[O-],846,1
Zingerone,CC(=O)CCC1=CC(=C(C=C1)O)OC,581,1
Methylglyoxal,O=CC(=O)C,535,1
Shogaol,CCCCCC=CC(=O)CCC1=CC(=C(C=C1)O)OC,383,1
Ginkgetin,COc1ccc(cc1c1c(O)cc(c2c1oc(cc2=O)c1ccc(cc1)O)O)c1cc(=O)c2c(o1)cc(cc2O)OC,477,1
Norathyriol,Oc1cc(O)c2c(c1)oc1c(c2=O)cc(c(c1)O)O,239,1
Mangiferin,C1=C2C(=CC(=C1O)O)OC3=C(C2=O)C(=C(C(=C3)O)C4C(C(C(C(O4)CO)O)O)O)O,729,1
Icariside Ii,COc1ccc(cc1)c1oc2c(CC=C(C)C)c(O)cc(c2c(=O)c1O[C@@H]1O[C@H](C)[C@H]([C@@H]([C@@H]1O)O)O)O,126,1
Ar-Turmerone,CC1=CC=C(C=C1)C(C)CC(=O)C=C(C)C,896,1
Abscisic Acid,[O-]C(=O)/C=C(\C=C\[C@@]1(O)C(=CC(=O)CC1(C)C)C)/C,713,2
Ergosterol,CC(C)C(C)C=CC(C)C1CCC2C1(CCC3C2=CC=C4C3(CCC(C4)O)C)C,45,1
Dopamine,NCCc1ccc(c(c1)O)O,30,1
Fomepizole,Cc1c[nH]nc1,78,1
Myricetin,C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O,216,1
Allyl Isothiocyanate,C=CCN=C=S,853,1
Chavicol,C=CCC1=CC=C(C=C1)O,589,1
Harpagoside,CC1(CC(C2(C1C(OC=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)OC(=O)C=CC4=CC=CC=C4,110,1
Arctigenin,COC1=C(C=C(C=C1)CC2COC(=O)C2CC3=CC(=C(C=C3)O)OC)OC,891,1
Phillyrin,OC[C@H]1O[C@@H](Oc2ccc(cc2OC)[C@H]2OC[C@H]3[C@@H]2CO[C@H]3c2ccc(c(c2)OC)OC)[C@@H]([C@H]([C@@H]1O)O)O,612,1
Matairesinol,COc1cc(ccc1O)C[C@H]1C(=O)OC[C@@H]1Cc1ccc(c(c1)OC)O,196,1
Betulinic Acid,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C(=O)O,1105,1
Quercitrin,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1ccc(c(c1)O)O,337,1
Bornyl Acetate,CC(=O)O[C@H]1C[C@@H]2C([C@@]1(C)CC2)(C)C,779,1
"3,7,7-Trimethylbicyclo[4.1.0]Hept-3-Ene,3-Carene",CC1=CCC2C(C1)C2(C)C,579,1
Taurine,NCCS(=O)(=O)O,411,2
Cytochalasin B,C[C@@H]1CCC[C@@H](O)/C=C/C(=O)O[C@@]23[C@@H](/C=C/C1)[C@H](O)C(=C)[C@H]([C@H]3[C@@H](N=C2O)Cc1ccccc1)C,1202,1
4-Hydroxybenzyl Alcohol,C1=CC(=CC=C1CO)O,529,1
Gastrodin,OC[C@H]1O[C@@H](Oc2ccc(cc2)CO)[C@@H]([C@H]([C@@H]1O)O)O,619,1
Menthol,C[C@H]1CC[C@@H]([C@H](C1)O)C(C)C,646,1
Jaceosidine,COC1=C(C=CC(=C1)C2=CC(=O)C3=C(O2)C=C(C(=C3O)OC)O)O,151,1
Nicotine,CN1CCC[C@H]1c1cccnc1,233,1
Indole-3-Acetic Acid,OC(=O)Cc1c[nH]c2c1cccc2,492,1
Bq-123,CC(C[C@@H]1N=C(O)[C@H](N=C(O)[C@@H]2CCCN2C(=O)[C@@H](N=C([C@H](N=C1O)Cc1c[nH]c2c1cccc2)O)CC(=O)O)C(C)C)C,1120,1
Duvoglustat,OC[C@H]1NC[C@@H]([C@H]([C@@H]1O)O)O,32,1
Myricitrin,CC1C(C(C(C(O1)OC2=C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C(=C4)O)O)O)O)O)O,217,1
Quercetin Dihydrate,Oc1cc(O)c2c(c1)oc(c(c2=O)O)c1ccc(c(c1)O)O.O,336,1
Taxifolin,Oc1cc2OC(c3ccc(c(c3)O)O)C(C(=O)c2c(c1)O)O,414,1
Pyroglutamic Acid,OC(=O)[C@@H]1CCC(=N1)O,333,1
Oxyresveratrol,Oc1ccc(c(c1)O)/C=C/c1cc(O)cc(c1)O,265,1
Kuwanon C,CC(=CCC1=C2C(=C(C=C1O)O)C(=O)C(=C(O2)C3=C(C=C(C=C3)O)O)CC=C(C)C)C,159,1
Butein,Oc1ccc(c(c1)O)C(=O)/C=C/c1ccc(c(c1)O)O,1124,1
Sanggenon G,CC(=CCCC1=C[C@H](c2c(O)cc3c(c2O)C(=O)C[C@H](O3)c2cc(O)ccc2O)[C@H]([C@@H](C1)c1ccc(cc1O)O)C(=O)c1ccc(cc1O)O)C,368,1
Sanggenon C,CC(=CC[C@@]12Oc3cc(O)c(c(c3C(=O)[C@@]2(O)Oc2c1ccc(c2)O)O)[C@H]1C=C(C)C[C@@H]([C@H]1C(=O)c1ccc(cc1O)O)c1ccc(cc1O)O)C,367,1
(+)-Taxifolin,Oc1cc2O[C@H](c3ccc(c(c3)O)O)[C@H](C(=O)c2c(c1)O)O,564,1
Esculin,OC[C@H]1O[C@@H](Oc2cc3ccc(=O)oc3cc2O)[C@@H]([C@H]([C@@H]1O)O)O,50,1
Sanggenone G,CC(=CCCC1=C[C@H](c2c(O)cc3c(c2O)C(=O)C[C@H](O3)c2ccc(cc2O)O)[C@H]([C@@H](C1)c1ccc(cc1O)O)C(=O)c1ccc(cc1O)O)C,887,1
Catechol,C1=CC=C(C(=C1)O)O,1146,1
Cis-Asarone,CC=CC1=CC(=C(C=C1OC)OC)OC,520,1
N-Acetyl-D-Glucosamine,OC[C@H]1O[C@H](O)[C@@H]([C@H]([C@@H]1O)O)NC(=O)C,600,1
Trans-Asarone,C/C=C/c1cc(OC)c(cc1OC)OC,434,1
Evodiamine,O=C1c2ccccc2N([C@@H]2N1CCc1c2[nH]c2c1cccc2)C,64,1
Liriodenine,O=C1c2ccccc2c2c3c1nccc3cc1c2OCO1,514,1
Chelerythrine,C[N+]1=C2C(=C3C=CC(=C(C3=C1)OC)OC)C=CC4=CC5=C(C=C42)OCO5,1152,1
Crotonaldehyde,CC=CC=O,1187,1
Xanthoxylin,CC(=O)C1=C(C=C(C=C1OC)OC)O,468,1
Acrolein,C=CC=O,832,1
Crotonoside,OC[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc(=O)[nH]c2N,588,1
Phorbol,OCC1=CC2C3C(C3(C)C)(O)C(C(C2(C2C(C1)(O)C(=O)C(=C2)C)O)C)O,661,2
Phorbol-12-Myristate-13-Acetate,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@H]([C@H]3[C@]1(OC(=O)C)C3(C)C)C=C(C[C@@]1([C@H]2C=C(C1=O)C)O)CO,627,1
Phorbol Myristate Acetate,CCCCCCCCCCCCCC(=O)O[C@@H]1[C@@H](C)[C@@]2(O)[C@H]([C@H]3[C@]1(OC(=O)C)C3(C)C)C=C(C[C@]1([C@H]2C=C(C1=O)C)O)CO,291,1
Punicalagin,O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(c(c3c3c(O)c(O)c4c5c3c(=O)oc3c(c(c(c6c(C(=O)O[C@H]2[C@H]2[C@H]1OC(=O)c1cc(O)c(c(c1c1c(C(=O)O2)cc(c(c1O)O)O)O)O)cc(O)c(c6O)O)c(c(=O)o4)c53)O)O)O)O,322,1
Corilagin,O[C@@H]1[C@H]2COC(=O)c3cc(O)c(c(c3c3c(C(=O)O[C@H]1[C@H]([C@@H](O2)OC(=O)c1cc(O)c(c(c1)O)O)O)cc(O)c(c3O)O)O)O,805,2
Erucic Acid,CCCCCCCC/C=C\CCCCCCCCCCCC(=O)O,47,1
Arjungenin,OC[C@]1(C)[C@@H](O)[C@H](O)C[C@]2([C@H]1CC[C@@]1([C@@H]2CC=C2[C@@]1(C)CC[C@@]1([C@H]2[C@H](O)C(CC1)(C)C)C(=O)[O-])C)C,810,1
Plaunotol,OC/C=C(/CC/C=C(/CC/C=C(/CCC=C(C)C)C)CO)C,497,1
