mean_distance_alleviated,mean_distance_unalleviated
0.4608655204631268,0.5149992749907663
0.4320202168216058,0.49812617611248633
0.42349325395084375,0.36931845797371926
0.4843194952242329,0.45676692353607157
0.4708025333190713,0.5254163185535867
0.5991490170920677,0.4305100417084322
0.4090465522160966,0.4251513497376774
0.4868073644771185,0.48797309002935263
0.4632350223965679,0.501664765062574
0.4116931150181366,0.5776283063359038
0.42951305693698516,0.5497833498551415
0.5234203848893063,0.5813369669308233
0.5509976949219061,0.5093853253168698
0.4248197014371149,0.5237145919620807
0.43969974609613055,0.4518498740104083
0.45339132223028117,0.4408908109342078
0.4532434263436243,0.5813369669308233
0.4676078257633155,0.5021548818694361
0.5185988051352229,0.45152423984570333
0.4454828372908004,0.5054800459736517
0.47334380652106256,0.5474366516854202
0.5547735392937498,0.431875812456029
0.4514960768055658,0.3873138026056384
0.5413361686682363,0.5106801985113965
0.6215414870886191,0.38735985984097243
0.5038294043197441,0.4839050066221798
0.6719697748595312,0.2735335741871292
0.40538376595476394,0.5475556250882755
0.4336555991755704,0.44956576286790895
0.36314473740035574,0.5773111869127892
0.490454103980424,0.5871184534453928
0.4234528165791771,0.5054800459736517
0.4483359375009008,0.45487404136860055
0.4606070052079271,0.4306540449362011
0.48526798052587816,0.49877453033614544
0.4252052842794757,0.6472312131773665
0.265232829735781,0.5813369669308233
0.6565549374781985,0.5419500717477682
0.51144721337909,0.501817171535519
0.413996563623471,0.24034464166974528
0.40103042655224386,0.5813369669308233
0.40787525299779737,0.4194317539918578
0.42751470821276294,0.5554423062834476
0.45755514424613175,0.6019698799112744
0.5293087118478778,0.5054800459736517
0.4519866844635567,0.3788325852180039
0.6454974717833538,0.3313242728004955
0.44388481223810833,0.6159210318040707
0.24540325427935789,0.630152328533133
0.4835892509231739,0.4596100379652229
0.34531523514840456,0.6915575443789025
0.48709720948059687,0.5243540199671168
0.505660301872428,0.5787171924819715
0.39353392561468703,0.5989544153602961
0.4436094905802009,0.4596100379652229
0.4864542629967477,0.29513447709506785
0.47949748125965136,0.501664765062574
0.47192831088077974,0.532063710888283
0.3955562038190521,0.4754650630253252
0.3509913281927112,0.37925695639306656
0.4441395381840094,0.24034464166974528
0.522675392614224,0.5326639674069157
0.4326419791244477,0.3542256318839475
0.24540325427935789,0.5984158515750568
0.3313242728004955,0.6186376447308063
0.48644223918590873,0.5054800459736517
0.5211504593310952,0.34789730236479505
0.47956343730762546,0.44199510352849414
0.4184475732293766,0.4204138322278145
0.4148388776432647,0.33796887873345827
0.4785944407238515,0.5389196113132085
0.5187887324352891,0.5054800459736517
0.5077781932651836,0.47537620533867914
0.5718196272745587,0.265232829735781
0.4873729020144874,0.6190752255968713
0.48302560068734496,0.6571938878879948
0.5162729799742185,0.37314733062637456
0.44618908787007705,0.4494373239508871
0.47883500368681864,0.37748246644541783
0.46840403577718964,0.5094914600175111
0.39036731864788926,0.42173647227010497
0.4255082152927756,0.4369756571646711
0.3981920735046575,0.3677883678026652
0.41485079401355884,0.33332033270982464
0.39223132166941355,0.44678515477710884
0.4452533225483899,0.3677883678026652
0.4322502003651162,0.4502820780227487
0.4695930635315556,0.5054800459736517
0.3852841151706136,0.3509913281927112
0.48170682336617315,0.5054800459736517
0.45516675458413447,0.501664765062574
0.44591641884658445,0.5877761482877595
0.4328900450553762,0.5134738864114106
0.4234891707781718,0.4702629153026059
0.38952392710404443,0.4519973541040483
0.4690187218168996,0.5679946557867425
0.4248197014371149,0.5054800459736517
0.5558849547825075,0.4619267430033817
0.43251537581720295,0.5186571678517145
0.42739570507595387,0.4382832382908223
0.40304762578900927,0.45527813409754525
0.45012473939957515,0.5747067732484814
0.4639098983167686,0.6013367400252188
0.4534112298685006,0.49046181345581635
0.5104458298794298,0.5106667746330772
0.510918586296595,0.6596531111991966
0.5626806505434238,0.4191353249040845
0.45582773268917237,0.575909586272113
0.41254931668075895,0.4518498740104083
0.4292331153946789,0.5994581101259243
0.5801047102332284,0.5114409085896989
0.3965968345299511,0.5984158515750568
0.29492633365649484,0.4251612151166593
0.40981546005222336,0.4952320939355851
0.47777322088143587,0.691351657176462
0.4395425334557515,0.5679564452715153
0.556757478989202,0.4584842480899655
0.44807159766956633,0.5779693011097858
0.46374517977240404,0.5432160722977661
0.5054707405895298,0.5110268196897408
0.42208569639914373,0.6571938878879948
0.4494077441519151,0.5397684011133005
0.46220421141433116,0.5789262688532941
0.4775176763392994,0.691351657176462
0.46934439233039055,0.44199510352849414
0.4724433901292621,0.44678515477710884
0.4299541725622927,0.5462992497095223
0.465353689207448,0.691351657176462
0.42922845186208264,0.630152328533133
0.48818542305067886,0.2928210578850527
0.4835205776701872,0.5281029719546664
0.39078936930662417,0.3962640494895713
0.36961286272303995,0.5337742812249239
0.40436509269432835,0.5571876957806253
0.4187792135497183,0.5719482382425444
0.5136636866835639,0.5054800459736517
0.265232829735781,0.587249897925275
0.4691400052165484,0.49946843378481764
0.34959359651509875,0.5985187951762772
0.44103593035355804,0.3955844740142501
0.4764628790418149,0.5984158515750568
0.4023886881875492,0.514136504456046
0.4630441524631777,0.5985187951762772
0.4830696461209468,0.4862410703567236
0.42133514630895696,0.5139264920042792
0.4749039690515836,0.44199510352849414
0.41787886944619784,0.4179364045982358
0.514491256339203,0.5134738864114106
0.47123917562946316,0.48915139354333803
0.48584417878734243,0.47916146072697724
0.4980679894047078,0.47115228317785635
0.265232829735781,0.5506035407355102
0.47569777511676364,0.5570329549388459
0.4338300476773486,0.5534083929994352
0.5158941058257678,0.4298424994184826
0.4984494990220035,0.44199510352849414
0.3566093392066358,0.5161398194081575
0.43272408072637714,0.5758639748291193
0.40436509269432835,0.47537620533867914
0.308245323447455,0.6159210318040707
0.5031495579209209,0.6013367400252188
0.43529423735756384,0.5497812962793807
0.5194612091020648,0.5984158515750568
0.44777971192705546,0.38724263075961324
0.4336037221064529,0.37741894026033695
0.522775800153192,0.42328489833330213
0.4361121550044556,0.6209012914278974
0.3688474380234884,0.53276294673758
0.538490990986635,0.6571938878879948
0.46980793468624554,0.5475556250882755
0.4104549499525463,0.6842864385198659
0.4973844149145984,0.5054800459736517
0.3766962163761103,0.5719482382425444
0.4972379230796589,0.6915575443789025
0.45499233082935303,0.44255685465808237
0.29492633365649484,0.5397708277635697
0.3313242728004955,0.5373140830159835
0.4852873319171488,0.5462992497095223
0.49306658063969394,0.587249897925275
0.4566377062415678,0.5213092828269745
0.4676316912451513,0.5813369669308233
0.41350878529545454,0.5985187951762772
0.3965968345299511,0.5813369669308233
0.46813764738932656,0.6185690156633262
0.4636532683199339,0.36931845797371926
0.4852231977622674,0.47560912029055136
0.4344891065948429,0.5626160974738427
0.4239593519311171,0.5838246144196365
0.4923302900489524,0.6565549374781985
0.40218701630392295,0.36677406855292227
0.34497708290829143,0.6013367400252188
0.4191499031470062,0.5813369669308233
0.4838247139044277,0.6472312131773665
0.4575065595814941,0.5813369669308233
0.4500901256340905,0.4539688264087868
0.42406929781009756,0.6064096237799483
0.48159613534835244,0.6453945281821336
0.3820083478859333,0.6399566617450603
0.4814351105162341,0.5052615564401559
0.4379231024000529,0.5984158515750568
0.49730834475818914,0.54736802261794
0.45071346392155087,0.5984158515750568
0.4782752606579558,0.6915575443789025
0.421304952750717,0.6399566617450603
0.5447252926321596,0.5331094002392669
0.4181293221355644,0.5719482382425444
0.30247355217519784,0.6159210318040707
0.4211344093744742,0.5985187951762772
0.4640558706189017,0.6224845916910785
0.37795257702989393,0.6399566617450603
0.4732747434897696,0.5266900058247521
0.5183151300737343,0.5113379649884787
0.41599146130954445,0.6013367400252188
0.265232829735781,0.5658301176562357
0.40394003066941336,0.3862014090948628
0.4337400884092773,0.5316868987848764
0.39508626927309953,0.6842864385198659
0.393522758210942,0.6168045235977191
0.5885627944123365,0.3313242728004955
0.43910068182838125,0.42561039671802514
0.265232829735781,0.6013367400252188
0.38223867633696545,0.3467271243190621
0.46282259437066287,0.5462992497095223
0.5034453286090109,0.49340855696418906
0.4913665617723096,0.5980115668161075
0.4683808569985401,0.5985187951762772
0.346704848080667,0.6325618200251073
0.4248197014371149,0.593277926316599
0.41902286380099607,0.6224845916910785
0.4199289602259043,0.4596100379652229
0.508245046934793,0.5054800459736517
0.44423733504828944,0.24034464166974528
0.32450482090610755,0.6146411995808178
0.29661642131296073,0.6956465747065846
0.49181088141905765,0.5984158515750568
0.3387823951706644,0.3789480973527166
0.5114409085896989,0.5054800459736517
0.5114409085896989,0.5054800459736517
0.4477038874028473,0.6571938878879948
0.4151177128726512,0.6224845916910785
0.53756084959688,0.5054800459736517
0.5851510081599639,0.4596100379652229
0.47459941092034025,0.5211371066488506
0.3964524010443487,0.458366576066813
0.49169442624009707,0.5984158515750568
0.5779155442735021,0.3313242728004955
0.4237653297098654,0.4609689139278612
0.40535459040206895,0.5776283063359038
0.4738499783052937,0.4596100379652229
0.4804852845376055,0.5054800459736517
0.43975460197429306,0.24034464166974528
0.47834694077232004,0.5497833498551415
0.4306271985579037,0.24034464166974528
0.4187766210774725,0.5719482382425444
0.498559887538004,0.6571938878879948
0.41968099056442293,0.6915575443789025
0.43370241230334805,0.4212961262876129
0.3502199049873756,0.5776283063359038
0.49109711747719653,0.4866865327987811
0.3385402550042499,0.5719482382425444
0.39308567037615894,0.6216010998974301
0.41243630439574275,0.5809502972817949
0.39729932108193805,0.40799757579169293
0.3938971913555946,0.5719482382425444
0.3074838759649504,0.5776283063359038
0.5183151300737343,0.42328489833330213
0.4605027881917164,0.5838246144196365
0.44392527279578053,0.47964794986644244
0.3723488760233196,0.5776283063359038
0.43551676136955575,0.44199510352849414
0.5123819057304758,0.4270962301588967
0.5582684331006361,0.40353961464665256
0.4704602366842108,0.5984158515750568
0.3754982870364189,0.3679783569794892
0.3948008229880746,0.462894091425747
0.3594344383933917,0.5764851025611004
0.36294723330778433,0.6159210318040707
0.3595128654303232,0.6224845916910785
0.2749370913680907,0.5626160974738427
0.41599146130954445,0.5849710514450465
0.3973912512470755,0.5173205287662624
0.48886043303819027,0.509434631839031
0.44625966909010073,0.4596100379652229
0.32768265585520373,0.5513262510580881
0.4318051722309833,0.4702629153026059
0.5095091779121927,0.51144721337909
0.476204471004258,0.54736802261794
0.5115765763032392,0.5225546865006511
0.3969915010855618,0.39942726344318785
0.5126098388919845,0.5054800459736517
0.43726498576042955,0.5180732544566783
0.41077767466077336,0.42335899241295644
0.4877682000842317,0.691351657176462
0.5511607836867229,0.4113077750791301
0.49917792930535754,0.46979424995171437
0.435699397258381,0.38775639706691645
0.47203219476091335,0.5658141774005355
0.451032269213184,0.691351657176462
0.3797349159670308,0.38304891347588094
0.39181666516414726,0.4518498740104083
0.5112344686174469,0.48905888210225906
0.4222386529191216,0.6186376447308063
0.4127251489844569,0.4588741853853963
0.4756309467330243,0.4806084913234363
0.41461012088529214,0.6571938878879948
0.44404951479105287,0.4596100379652229
0.38801813159244947,0.3862014090948628
0.4601460501758803,0.4336870903528216
0.5006586498185934,0.5301571035405303
0.439203725526473,0.49036001415007124
0.4728563743181556,0.6565549374781985
0.19031455875593842,0.5187711804443745
0.5289108522127606,0.47495517463609666
0.5183151300737343,0.4746483688212855
0.4599921529257743,0.4209341266192466
0.3989770642161271,0.4351932956723136
0.3918462979222569,0.4454235118152606
0.42071664975054507,0.4218812256539877
0.45113148369099454,0.5302257326080104
0.43874877145510066,0.37416275628445395
0.38831159469965215,0.5813369669308233
0.38068327012540054,0.5613789065959671
0.45743989519471573,0.44856718220315156
0.5705663935787761,0.4234829570434263
0.505636493770408,0.44199510352849414
0.3313242728004955,0.5322607959304745
0.4549861401125171,0.4952320939355851
0.4113263183895378,0.5984158515750568
0.47233137029737127,0.5984158515750568
0.4407054763906383,0.5984158515750568
0.35773724635658993,0.6168045235977191
0.45433203946289624,0.5098275030463337
0.5081008201885351,0.5599900181404642
0.49173309317937136,0.5406475069033334
0.4201859356032701,0.3865689272884659
0.5397684011133005,0.4880221426991641
0.4648037187388553,0.5054800459736517
0.432613562142856,0.41585793557022394
0.3956735323165868,0.5613134308700297
0.4829779915169564,0.5556344395533659
0.5254500564291527,0.4862271311755016
0.49979201341058965,0.511897588023693
0.5078657467073036,0.5813369669308233
0.5344888596041762,0.691351657176462
0.44929145016378375,0.5753590390129709
0.45621571369424924,0.5185652434244425
0.5035216514696116,0.46335212108621704
0.4848553688072794,0.44199510352849414
0.4348213836199129,0.48878633794349274
0.45101615352895064,0.5984158515750568
0.38389747463586693,0.5758639748291193
0.48383366076786705,0.5351990182996815
0.4242302497360305,0.43897882983762687
0.5574198070432945,0.47070172910773217
0.4591164212259372,0.5984158515750568
0.35415563078977885,0.5984158515750568
0.4758080619574569,0.4710466388861338
0.5299516335712363,0.5183151300737343
0.3561909791904081,0.5640385399932061
0.41599146130954445,0.5984158515750568
0.4466651092773751,0.4013974712471754
0.5107509333804722,0.28770633275947594
0.6289458387517086,0.47195122793116134
0.4408331079662002,0.5054800459736517
0.4792950186173671,0.5994373991878051
0.40616067964635916,0.5861157632126061
0.47340730493446176,0.5984158515750568
0.6463441986008404,0.5054800459736517
0.5895817464494725,0.5038860623160386
0.3886158093670733,0.584681380438337
0.5205839921074141,0.5984158515750568
0.5574198070432945,0.4318243406554189
0.3767814628598085,0.5985187951762772
0.43983974443261137,0.5445406794592796
0.5004049418490523,0.4623820873020173
0.3980233516886419,0.3785405585580861
0.34335691319700123,0.4627264394991235
0.4779682385429961,0.5034122915368504
0.5076816644535639,0.5517555146198829
0.35739632822917267,0.5557947477391376
0.5306533309399257,0.47537620533867914
0.404917936514364,0.4322752759546522
0.4044686794028922,0.41711154721614524
0.47874631418056013,0.42849974733985813
0.42709082568960105,0.5683120109400843
0.4529417150888138,0.5685256739233242
0.4291405324258425,0.5049296952477887
0.4257755146228393,0.49075996365444813
0.41871041274487464,0.4237437110375945
0.49152851693875926,0.374262321223879
0.47162372488645915,0.5813369669308233
0.658052854063031,0.4859419578848674
0.40154938803044127,0.5465623317014967
0.5574198070432945,0.4799707257264507
0.4164412518137789,0.5381905107798324
0.38969946653503096,0.5617971113117832
0.4763608944169526,0.5651284913556376
0.45545705644910106,0.5523207596476429
0.5329662981214645,0.5262743225180847
0.5091822832595634,0.48570911963962365
0.6076119930422309,0.5517555146198829
0.3796671456671773,0.4855255347542683
0.47033947253345465,0.593277926316599
0.486588441215259,0.4927820384971561
0.36153760534866963,0.5517555146198829
0.47709919415591673,0.4369526826868871
0.4154123592440162,0.4797396211352328
0.4301552358778217,0.5813369669308233
0.3357376867580595,0.5880035579622884
0.4239108642064584,0.5285672242405359
0.4093820770700519,0.37887749910728363
0.4780274588781433,0.5984158515750568
0.34959359651509875,0.5994581101259243
0.4925476269321461,0.4609488345445429
0.4188438446955015,0.5738176159626344
0.41626384252433907,0.5448246798658772
0.422987382930056,0.47970810634684663
0.4559108392421762,0.37761627469082487
0.46577507689162134,0.459091261058062
0.3561909791904081,0.5985187951762772
0.47852039837329907,0.5994098500948202
0.5536469760733459,0.4209280943820819
0.40055158683123804,0.5522397898374091
0.4267490480184733,0.5890166240119504
0.3645157273684355,0.517759812118668
0.4207162435076241,0.5809502972817949
0.42765159536041447,0.4855185031788035
0.4248197014371149,0.6454974717833538
0.3942428473304188,0.5984158515750568
0.46293500683412536,0.5082880706029751
