Source,n_repeats,n_cases,n_candidates,mean_rank,mean_rank_sd,median_rank,hit_at_1,hit_at_1_sd,hit_at_1_sem,hit_at_1_ci95,hit_at_5,hit_at_5_sd,hit_at_5_sem,hit_at_5_ci95,hit_at_10,hit_at_10_sd,hit_at_10_sem,hit_at_10_ci95
Graph baseline,10,3896,50,18.584368583162217,0.05533337608365984,15.55,0.04499486652977412,0.0032558101581984756,0.0010295775729020316,0.002017972042887982,0.19040041067761806,0.0023704307925046745,0.0007495960340112758,0.0014692082266621006,0.3481776180698152,0.0036485176352190943,0.0011537625810583705,0.002261374658874406
Original_encoder_set,10,3896,50,11.616683778234087,0.0542619107939488,7.9,0.14599589322381928,0.004251802718860095,0.0013445380753294455,0.002635294627645713,0.41042094455852157,0.0022343540138947014,0.0007065647783046763,0.0013848669654771655,0.6033110882956879,0.004259457199826863,0.0013469586347455847,0.002640038924101346
SVD baseline,10,3896,50,20.4857546201232,0.04096161311709977,17.2,0.046457905544147846,0.0017741650712977178,0.0005610402570415812,0.0010996389038014991,0.17918377823408624,0.003850007603967414,0.0012174793037504543,0.0023862594353508903,0.31835215605749484,0.003630012437211426,0.0011479107236327063,0.0022499050183201045
