Node1,Node2,Weight,Gene/Symptom overlap
"arrhythmias, cardiac",esophageal diseases,0.692596853,TRUE
"arrhythmias, cardiac",mouth diseases,0.673631966,FALSE
"arrhythmias, cardiac",ocular motility disorders,0.716843128,FALSE
cerebellar diseases,cerebellar ataxia,0.670409977,TRUE
cerebellar diseases,esophageal diseases,0.69226104,FALSE
cerebellar diseases,mouth diseases,0.669096232,FALSE
cerebellar diseases,neurodegenerative diseases,0.689655602,TRUE
cerebellar diseases,ocular motility disorders,0.723279059,TRUE
cerebellar diseases,parkinsonian disorders,0.667657435,TRUE
esophageal diseases,basal ganglia diseases,0.709335744,FALSE
esophageal diseases,biliary tract diseases,0.656720519,FALSE
esophageal diseases,coronary artery disease,0.646199048,TRUE
esophageal diseases,ocular motility disorders,0.705639064,FALSE
esophageal diseases,parkinsonian disorders,0.638718784,FALSE
ocular motility disorders,biliary tract diseases,0.626794636,FALSE
ocular motility disorders,cerebellar ataxia,0.646496415,TRUE
ocular motility disorders,coronary disease,0.638952017,FALSE
ocular motility disorders,neurodegenerative diseases,0.679286957,TRUE
dyskinesias,breast neoplasms,0.60166347,FALSE
dyskinesias,"genital diseases, female",0.643793941,FALSE
dyskinesias,neuromuscular diseases,0.62898463,TRUE
dyskinesias,peripheral nervous system diseases,0.615413666,TRUE
dyskinesias,urination disorders,0.584178269,FALSE
peripheral nervous system diseases,breast neoplasms,0.609811544,TRUE
cerebellar ataxia,joint diseases,0.628890097,FALSE
neurodegenerative diseases,coronary disease,0.652244628,TRUE
neurodegenerative diseases,joint diseases,0.65803349,FALSE
neurodegenerative diseases,parkinsonian disorders,0.70312959,TRUE
parkinsonian disorders,joint diseases,0.611274719,FALSE
parkinsonian disorders,skin diseases,0.626184702,TRUE
basal ganglia diseases,neurodegenerative diseases,0.6211074,TRUE
basal ganglia diseases,parkinsonian disorders,0.679036975,TRUE
basal ganglia diseases,skin diseases,0.605733991,TRUE
coronary artery disease,coronary disease,0.689855516,TRUE
coronary artery disease,myocardial infarction,0.611658514,TRUE
coronary disease,myocardial infarction,0.6685161,TRUE
"genital diseases, female",arthritis,0.607223332,FALSE
"genital diseases, female",disorders of sex development,0.597592652,TRUE
"genital diseases, female",heart arrest,0.655300379,FALSE
"genital diseases, female",neuromuscular diseases,0.706765711,FALSE
kidney diseases,asthma,0.591843724,TRUE
kidney diseases,"diabetes mellitus, type 1",0.685404539,TRUE
kidney diseases,"diabetes mellitus, type 2",0.577258885,TRUE
kidney diseases,metabolic syndrome x,0.589330912,TRUE
