selected_formula_row_id,PC1,PC2,PC3,local_stability
0,0.22733532571693815,-0.3341870834275398,-0.5918547593130609,0.4251445098843442
1,-0.2670259081465777,0.36115277545741786,-0.38589382725441435,0.21629598629814437
2,0.13733461194837554,0.8221239592818512,0.6052177873851355,0.3403950339063428
3,0.5730357403085264,-0.4888792123514545,-0.39457895335654297,0.3003993294235902
4,0.2171460922327771,0.5686343240420946,0.036761001758839,0.3163719925906669
5,0.6525538099434789,-0.2837672314740295,-0.2627977454938051,0.24143207953714066
6,-0.851966316732817,-0.22792865426718928,-0.43275440499621287,0.39622212314070687
7,0.02045374724640095,-0.9974847438399042,-0.5082458685030018,0.43250072901413905
8,0.8601010753562262,-0.5053077551070568,-0.4020004102205622,0.4314408156467234
9,0.9897536980756778,-0.22054280909170987,-0.5318093321051962,0.43579175641903306
10,0.5084625524297706,-0.37500986555198057,0.21494834713838376,0.26532913830237653
11,-0.7068788674167185,-0.48977349599250825,0.6345886301080528,0.5291271200649844
12,-0.4308613919830792,0.3890723505207072,0.6840271315290449,0.3401920544673702
13,-0.2434871785466725,-0.5733324547724566,0.15010217928401987,0.41755746745735606
14,0.46044478576093395,0.6905165388959114,0.33884566036326047,0.2476119832055392
15,-0.349396584683518,-0.7062182164905288,-0.320300079336815,0.4303000025364743
16,-0.149550182611298,0.7327967060665879,-0.10389834018927681,0.4551022895998793
17,-0.4348461591926397,-0.7342750404582068,-0.3941394696782967,0.5426347306607179
18,0.18989177594320167,0.8873394005239836,0.09001761212860215,0.45077904234127186
19,0.12646969958825022,-0.701291736321535,1.2832914361625196,0.5009168458776987
20,0.3767994375327488,0.7116796400039306,0.47329643872823485,0.3868893705798909
21,0.16002343099515748,-0.7633566478508912,0.2385924291415759,0.21944233008504624
22,0.7589633965602303,0.02523941875164548,-0.5456051603915486,0.24264190569698385
23,0.8197129879332357,-0.0341214753033314,-0.6354926639869132,0.24694094013517073
24,-0.16127740284734168,0.13090309426521693,-0.1355365939858093,0.24683305288007687
25,0.6873202649799699,0.6175800786917223,-0.09538309841546225,0.3571140173508091
26,0.14124950308820564,0.4150859916011729,-0.7041743418172726,0.4061287812925435
27,-0.34624209250726956,0.6547280938031037,-0.18845921484643494,0.23164815992794788
28,-0.7580147893286753,-0.46781727250011945,-0.5334920955109673,0.3991775141002677
29,0.9182955074547509,0.12320895531221006,0.2506828295904333,0.2247241913790343
30,-0.5276534539073486,0.5685501615029264,-0.6390306043869184,0.39023010940820857
31,0.9922882814292511,0.15003620852747335,-0.2029972750118536,0.27496768925844084
32,-0.8132739583632802,-0.31303575550535573,-0.5686691586991204,0.31225848813611545
33,-0.1633572148398212,-0.0867210759518312,-0.0385057956230065,0.18814083546265045
34,-0.2041977357014147,0.9630371324014744,0.4736682470350712,0.15341391516025407
35,0.12909436317800166,-0.34455479955892987,0.7231582054766423,0.18926618888995383
36,-0.6742696677109938,-0.4837908918000654,-0.411699854422003,0.4154454969310982
37,-0.6540112636644548,0.4326933135708342,-0.17172704976187939,0.29343834552417797
38,0.08089661227596015,-0.2208946132902571,0.1860358939600759,0.17198508388455705
39,0.863150805748877,-0.41371758224949085,0.11084011368162444,0.30278795655394214
40,0.6628524769256137,0.48267120516474926,0.21433960791437437,0.30572668757943616
41,0.5210970931224543,0.47375236842501567,-0.2983784870796631,0.4282378075011864
42,-0.4917173877436465,0.5119752313323988,0.4278941843463835,0.5872597468732739
43,-0.12539322190282545,0.8750148266591669,0.1577676461676396,0.3971195362358383
44,-0.22860769528426986,0.32219852069353355,-0.6692763733020681,0.40055218702481094
45,-0.105126422401406,0.22389285338155357,0.8183274259801419,0.490083790473112
46,0.8876621028436957,-0.013803386738854756,-0.3206107120469254,0.12190712995833002
47,0.5411656215134251,-0.954586251467493,0.5526857888530673,0.3193078886467329
48,-0.38543861463690376,0.47845512028821363,-0.5804561892295794,0.22609868993558707
49,-0.7117593480825677,-0.48468255637945745,-0.3093173535336533,0.1969899755824605
50,-0.2512116772096231,0.2478186553143103,-0.38974066238129923,0.26805139584226007
51,0.7044564382530162,0.20722456575076234,0.13237095644071428,0.2765254432440922
52,-0.46110491153180133,-0.7096912685369755,0.8014494610584652,0.5718058512461315
53,0.27614077674982623,-0.5454585747801789,-0.15595307863523494,0.17562119128410536
54,0.6840933481506399,0.2641180392958975,0.4731264978801409,0.23352304030016877
55,0.448818008072414,-0.7062082690928714,-0.6707022260484857,0.495784899171378
56,0.9313162321875916,0.18359753516581356,-0.027313197747279847,0.3731132031428658
57,-0.2999976097565113,0.2487648228187157,0.9733587235256405,0.5829694513752487
58,-0.6012834836488069,0.051885796168806356,0.4426036266142826,0.28944422655408736
59,0.9516805779939204,-0.42688449922961813,-0.48542349225433157,0.1845758101708699
60,0.8195254474464213,-0.6738016621874836,-0.6807398563527187,0.5220114289794506
61,0.5008421257393645,-0.8593889507530281,-0.6006522608674961,0.5531535114277079
62,0.19003875388786318,0.26978791430470533,0.6053398418497432,0.21791946868175355
63,0.8289913624090484,0.4447867300607184,-0.05796271570985934,0.26933873017502613
64,0.24298503740620903,1.217169923562182,0.44003245704878236,0.49525971665219237
65,0.9701341389224936,-0.5532300106792238,-0.5312588859691398,0.39562042666726893
66,-0.06767896232150145,0.7198806523820693,-0.3960094195299917,0.2960694834494336
67,-0.5958221848301489,0.20729249136679206,0.22140496897035833,0.18654986084699107
68,-0.9474538784894939,0.034547290029197,-0.3365056496324151,0.5376664943881336
69,-0.9298900609159613,0.3132761582938707,-0.3122221310997771,0.4301308353663548
70,-0.11565749374929296,-0.21967287768745314,0.6284168679665727,0.1589614810560913
71,0.5590523532718192,0.2941093047252556,0.08311092328960268,0.17412503555511893
72,-0.11317884980381826,0.4080285647960137,-0.23150072280320474,0.1919974467710686
73,0.40204078328168974,0.19315718263306256,0.6471228238683708,0.31359494790976405
74,1.0643331281248716,-0.07333973903770336,-0.5572995832627072,0.4066973403878607
75,-0.5095300990585194,-0.5319748772554087,-0.49331026233599296,0.2760939242970839
76,0.43118859373604196,-0.2246404066113377,0.9171428787818586,0.2695114085820535
77,0.646206843300153,0.5243253284567748,0.6482436393628841,0.4267378089896937
78,-0.42204764999961997,0.698359293858668,0.3561140356643202,0.6081362357757498
79,0.1432242269792841,0.5887529483960741,0.0186496904609476,0.3352807729754289
80,-0.3605547534838349,-0.3494444113983779,0.729999444410564,0.5160325720106047
81,-0.4138331431602742,0.2606044988226562,0.19497986652401825,0.2953697619815384
82,-0.3836893970010484,0.26129147365987015,1.1164012431864698,0.33115128801323335
83,0.33154890641954415,-0.007473737988769158,0.02364959974670095,0.3002288520816006
84,0.5431736904026656,-0.15836218666264,0.6741333723244455,0.16708674382032343
85,0.1333677164902457,0.0820796516839383,1.2101366416545916,0.2921267445288325
86,0.2459848921190588,0.28753209798574514,-0.831200342781161,0.31372391952302825
87,0.458361572903583,-0.38916941949354494,-0.046385331172845906,0.1957680557350986
88,0.3882851853479616,0.010052160123990392,-0.06984708743118222,0.1765735211588935
89,0.055713216162936646,-0.7039124600800859,-0.026811047763113847,0.22739648358382314
90,0.9656264260914131,-0.15790684768277763,-0.0931154400678102,0.3779128996253325
91,-0.1906805480332647,0.0575701861936265,0.5244836903979846,0.15862340382347506
92,0.2667496918293217,0.6404024812788717,0.5767176036110714,0.37483143968810667
93,1.0725582974328676,-0.6963302262028155,0.2908826996401555,0.4256409210110855
94,1.0409032344620681,0.197439631761945,0.1559159522048394,0.34321698980169785
