herbs,categories,rank
蓖麻子,Mild,119
自然铜,Mild,301
露蜂房,Mild,98
芡实,Mild,585
炉甘石,Mild,6
桑螵蛸,Mild,580
墨,Mild,424
覆盆子,Mild,422
海桐皮,Mild,275
黑芝麻,Mild,467
川牛膝,Mild,53
铁粉,Mild,214
水蛭,Mild,447
安息香,Mild,589
小谷精草,Mild,29
鸡内金,Mild,748
槐枝,Mild,351
枫香脂,Mild,63
桑枝,Mild,125
雌黄,Mild,403
鹤虱,Mild,175
刺猬皮,Mild,299
白石脂,Mild,478
土茯苓,Mild,21
土瓜,Mild,458
鸡子,Mild,554
灵香草,Mild,99
荷叶,Mild,339
莲须,Mild,404
青礞石,Mild,354
桃枝,Mild,340
石南,Mild,243
百药煎,Mild,322
王不留行,Mild,432
慈乌,Mild,417
黄精,Mild,126
胭脂,Mild,286
狼毒,Mild,648
麻黄根,Mild,464
白沙糖,Mild,278
卷柏,Mild,345
谷芽,Mild,446
白皮,Mild,689
黄明胶,Mild,129
马勃,Mild,61
鲫鱼,Mild,147
蛤蚧,Mild,602
雀瓮,Mild,216
棕榈皮,Mild,437
橘核,Mild,19
陈仓米,Mild,687
菟丝,Mild,544
金樱子,Mild,294
茯苓皮,Mild,302
白梅,Mild,188
红豆,Mild,778
藕节,Mild,565
亚麻子,Mild,257
紫草茸,Mild,202
芸薹子,Mild,348
桑耳,Mild,319
紫荆皮,Mild,390
鱼鳔,Mild,212
槐白皮,Mild,379
白果,Mild,654
铁精,Mild,67
木耳,Mild,110
大豆黄卷,Mild,315
陆英,Mild,68
紫贝,Mild,273
猪肾,Mild,470
人乳汁,Mild,300
花蕊石,Mild,290
松萝,Mild,553
鲤鱼,Mild,670
柿蒂,Mild,308
桃茎白皮,Mild,582
棕榈炭,Mild,454
佩兰,Mild,685
柏根白皮,Mild,652
乌骨鸡,Mild,491
红娘子,Mild,680
桃花,Mild,314
猪胰,Mild,148
莲房,Mild,238
猪蹄,Mild,57
橄榄,Mild,220
橘叶,Mild,130
野菊花,Mild,17
珊瑚,Mild,556
乌鸦,Mild,134
驴肉,Mild,324
玉,Mild,564
小草,Mild,131
冰糖,Mild,658
猕猴骨,Mild,481
蚕退纸,Mild,487
枫香树叶,Mild,634
鹅肉,Mild,614
榼藤子,Mild,489
人指甲,Mild,193
马蔺子,Mild,708
陆英根,Mild,768
橘,Mild,199
鼠曲草,Mild,577
瓦楞子,Mild,773
甘蓝,Mild,762
榧子,Mild,121
小青,Mild,460
菝葜,Mild,621
向日葵子,Mild,428
紫檀,Mild,221
鸡子黄,Mild,159
蝙蝠,Mild,408
绿盐,Mild,35
桃胶,Mild,39
鸡子壳,Mild,501
蚕蜕,Mild,649
番红花,Mild,88
莲花,Mild,5
水蓼,Mild,736
羊髓,Mild,465
鳗鲡鱼,Mild,87
柿饼,Mild,166
槐耳,Mild,135
栗子,Mild,155
马齿,Mild,11
柽柳,Mild,346
凤凰衣,Mild,41
桃叶,Mild,397
碧桃干,Mild,566
当归,Warm & Hot,433
人参,Warm & Hot,574
白术,Warm & Hot,709
川芎,Warm & Hot,320
橘皮,Warm & Hot,757
防风,Warm & Hot,78
木香,Warm & Hot,591
半夏,Warm & Hot,722
干姜,Warm & Hot,712
附子,Warm & Hot,632
肉桂,Warm & Hot,725
黄芪,Warm & Hot,361
麝香,Warm & Hot,376
桂心,Warm & Hot,612
熟地黄,Warm & Hot,332
槟榔,Warm & Hot,724
白芷,Warm & Hot,195
羌活,Warm & Hot,237
厚朴,Warm & Hot,756
细辛,Warm & Hot,170
杏仁,Warm & Hot,637
乳香,Warm & Hot,79
荆芥,Warm & Hot,150
麻黄,Warm & Hot,402
雄黄,Warm & Hot,298
青皮,Warm & Hot,651
苍术,Warm & Hot,531
五味子,Warm & Hot,557
生姜,Warm & Hot,691
独活,Warm & Hot,241
丁香,Warm & Hot,750
砂仁,Warm & Hot,701
天南星,Warm & Hot,409
川乌头,Warm & Hot,288
远志,Warm & Hot,338
吴茱萸,Warm & Hot,772
沉香,Warm & Hot,694
花椒,Warm & Hot,468
巴豆,Warm & Hot,559
神曲,Warm & Hot,741
杜仲,Warm & Hot,321
皂荚,Warm & Hot,240
山茱萸,Warm & Hot,344
小茴香,Warm & Hot,767
藿香,Warm & Hot,530
红花,Warm & Hot,485
莪术,Warm & Hot,759
石菖蒲,Warm & Hot,318
肉豆蔻,Warm & Hot,716
白附子,Warm & Hot,405
大枣,Warm & Hot,593
草乌头,Warm & Hot,196
紫苏叶,Warm & Hot,524
续断,Warm & Hot,292
硫黄,Warm & Hot,726
延胡索,Warm & Hot,595
肉苁蓉,Warm & Hot,572
补骨脂,Warm & Hot,641
山楂,Warm & Hot,760
乌药,Warm & Hot,746
高良姜,Warm & Hot,777
木瓜,Warm & Hot,723
赤石脂,Warm & Hot,698
紫菀,Warm & Hot,619
巴戟天,Warm & Hot,331
当归身,Warm & Hot,176
桂枝,Warm & Hot,560
五灵脂,Warm & Hot,717
硇砂,Warm & Hot,506
艾叶,Warm & Hot,620
橘红,Warm & Hot,642
何首乌,Warm & Hot,263
当归尾,Warm & Hot,183
白豆蔻,Warm & Hot,742
藁本,Warm & Hot,359
鹿茸,Warm & Hot,504
虎骨,Warm & Hot,310
威灵仙,Warm & Hot,262
草豆蔻,Warm & Hot,770
五加皮,Warm & Hot,508
大腹皮,Warm & Hot,719
蛇床子,Warm & Hot,284
木鳖子,Warm & Hot,536
胡椒,Warm & Hot,771
松香,Warm & Hot,80
蜈蚣,Warm & Hot,89
益智仁,Warm & Hot,540
款冬花,Warm & Hot,635
天雄,Warm & Hot,353
海螵蛸,Warm & Hot,112
葱白,Warm & Hot,398
干漆,Warm & Hot,737
旋覆花,Warm & Hot,568
紫苏子,Warm & Hot,668
芫花,Warm & Hot,720
芜荑,Warm & Hot,282
草果,Warm & Hot,659
蟾酥,Warm & Hot,203
使君子,Warm & Hot,672
消石,Warm & Hot,704
檀香,Warm & Hot,744
姜黄,Warm & Hot,516
斑蝥,Warm & Hot,415
骨碎补,Warm & Hot,228
紫苏梗,Warm & Hot,512
糯米,Warm & Hot,713
白芥子,Warm & Hot,251
荜茇,Warm & Hot,707
泽兰,Warm & Hot,538
皂角刺,Warm & Hot,114
胡桃仁,Warm & Hot,248
甘松,Warm & Hot,162
百花锦蛇,Warm & Hot,101
狗脊,Warm & Hot,252
樟脑,Warm & Hot,81
砒石,Warm & Hot,601
酒,Warm & Hot,521
莽草,Warm & Hot,76
八角茴香,Warm & Hot,666
百草霜,Warm & Hot,177
炮姜,Warm & Hot,638
母丁香,Warm & Hot,603
荜澄茄,Warm & Hot,766
沙苑子,Warm & Hot,96
伏龙肝,Warm & Hot,604
砒霜,Warm & Hot,367
胡芦巴,Warm & Hot,374
百部,Warm & Hot,479
巴豆霜,Warm & Hot,535
淫羊藿,Warm & Hot,429
鹿角胶,Warm & Hot,445
粉霜,Warm & Hot,558
紫石英,Warm & Hot,58
白丁香,Warm & Hot,139
香薷,Warm & Hot,669
石灰,Warm & Hot,26
大蒜,Warm & Hot,567
降香,Warm & Hot,529
韭子,Warm & Hot,423
鸡骨香,Warm & Hot,40
闹羊花,Warm & Hot,75
石榴皮,Warm & Hot,419
大风子,Warm & Hot,13
三七,Warm & Hot,152
皂荚子,Warm & Hot,254
丁香树皮,Warm & Hot,727
茵芋,Warm & Hot,184
蚕沙,Warm & Hot,270
钟乳石,Warm & Hot,396
紫河车,Warm & Hot,236
没食子,Warm & Hot,646
薤白,Warm & Hot,684
刘寄奴,Warm & Hot,280
阳起石,Warm & Hot,609
苍耳子,Warm & Hot,15
白石英,Warm & Hot,375
鹿角,Warm & Hot,337
千金子,Warm & Hot,137
象皮,Warm & Hot,490
虫白蜡,Warm & Hot,118
鹿角霜,Warm & Hot,430
辛夷,Warm & Hot,74
龙眼肉,Warm & Hot,431
银朱,Warm & Hot,128
羊肉,Warm & Hot,537
天仙子,Warm & Hot,545
锁阳,Warm & Hot,213
山柰,Warm & Hot,640
醋,Warm & Hot,613
千年艾,Warm & Hot,588
白前,Warm & Hot,662
松节,Warm & Hot,90
原蚕蛾,Warm & Hot,317
竹节香附,Warm & Hot,436
椒目,Warm & Hot,608
鼠,Warm & Hot,644
小南木香,Warm & Hot,323
羊肾,Warm & Hot,343
蜀漆,Warm & Hot,622
侧子,Warm & Hot,627
云母,Warm & Hot,755
红曲,Warm & Hot,410
杜衡,Warm & Hot,360
食茱萸,Warm & Hot,628
红粉,Warm & Hot,38
海鳗,Warm & Hot,629
红木香,Warm & Hot,44
苏合香,Warm & Hot,765
姜炭,Warm & Hot,466
礜石,Warm & Hot,665
海风藤,Warm & Hot,16
蛴螬,Warm & Hot,383
荔枝核,Warm & Hot,590
猪肚,Warm & Hot,450
饴糖,Warm & Hot,763
紫梢花,Warm & Hot,515
赤沙糖,Warm & Hot,36
鹅管石,Warm & Hot,245
地胆,Warm & Hot,779
天仙藤,Warm & Hot,598
仙茅,Warm & Hot,711
广藿香,Warm & Hot,461
獭肝,Warm & Hot,443
芫青,Warm & Hot,304
芥子,Warm & Hot,739
牛角（角思）,Warm & Hot,120
猪肝,Warm & Hot,655
小血藤,Warm & Hot,312
雪里见,Warm & Hot,250
乌头附子尖,Warm & Hot,233
羊骨,Warm & Hot,46
松叶,Warm & Hot,518
红豆蔻,Warm & Hot,733
鸡血藤,Warm & Hot,388
煨姜,Warm & Hot,394
雀,Warm & Hot,473
桂皮,Warm & Hot,269
海狗肾,Warm & Hot,775
透骨草,Warm & Hot,647
海马,Warm & Hot,281
急性子,Warm & Hot,597
海松子,Warm & Hot,442
牡荆子,Warm & Hot,663
羊脂,Warm & Hot,482
鹅不食草,Warm & Hot,20
肥皂荚,Warm & Hot,23
女萎,Warm & Hot,586
佛手柑,Warm & Hot,664
鸦片,Warm & Hot,679
香橼,Warm & Hot,747
白垩,Warm & Hot,714
猫肉,Warm & Hot,230
徐长卿,Warm & Hot,776
鸡头,Warm & Hot,674
蘘荷,Warm & Hot,533
香茅,Warm & Hot,754
木天蓼,Warm & Hot,143
黑骨头,Warm & Hot,656
条参,Warm & Hot,486
罗勒,Warm & Hot,617
黄皮,Warm & Hot,370
灵砂,Warm & Hot,316
麋角,Warm & Hot,122
三叶海棠,Warm & Hot,761
酸石榴,Warm & Hot,721
甜石榴,Warm & Hot,625
黍米,Warm & Hot,330
南藤,Warm & Hot,260
橄榄核,Warm & Hot,111
松花,Warm & Hot,161
石榴根,Warm & Hot,731
峨参,Warm & Hot,369
葱汁,Warm & Hot,124
杉木节,Warm & Hot,182
酒糟,Warm & Hot,752
