model,analysis,bin_id,x_mean,y_mean,y_sem,count
main,herb_herb,0,0.027692508563189812,-0.02920392236927735,0.012286111724429357,4337
main,herb_herb,1,0.08365618341477508,-0.02698871734237882,0.011984739451071359,4337
main,herb_herb,2,0.1391820452203094,-0.027092912194063918,0.01171259185691288,4337
main,herb_herb,3,0.1940834122748777,-0.04296153454630405,0.01134981262371773,4337
main,herb_herb,4,0.24812998824905336,-0.0020717678958499367,0.011923757585826983,4337
main,herb_herb,5,0.30006722763778193,-0.009212602375086474,0.011607001338456335,4337
main,herb_herb,6,0.35170527625836523,-0.020558418891990674,0.011947824515896306,4337
main,herb_herb,7,0.40029613496642785,-0.015023072769244812,0.012065960161843485,4337
main,herb_herb,8,0.44826749932633464,-0.006686713207154149,0.011832933184973157,4337
main,herb_herb,9,0.4947345758408317,-0.01608347209753916,0.01189514813836857,4337
main,herb_herb,10,0.5391870456231196,-0.015994247995521994,0.012127171159922014,4337
main,herb_herb,11,0.5822113448027758,0.0007968583600806236,0.012076190021175541,4337
main,herb_herb,12,0.6250525736795464,0.007825564526601604,0.012138895893063446,4337
main,herb_herb,13,0.6664595203502504,0.017345048984396774,0.012256193323574052,4337
main,herb_herb,14,0.7069236132910707,0.016462358725113962,0.012504211477864645,4337
main,herb_herb,15,0.7475454967205692,-0.0015418807941147824,0.012208596054910112,4337
main,herb_herb,16,0.788134919752812,0.01570743456093092,0.01226753929291629,4336
main,herb_herb,17,0.831609278442182,0.037781876405734605,0.012476314923028316,4336
main,herb_herb,18,0.8808265349219757,0.05109828550080566,0.012387238521959715,4336
main,herb_herb,19,0.9445680322767082,0.06644127024693833,0.012778921188145954,4336
main,disease_disease,0,0.0531326246078773,-0.578018205662665,0.09607092617454957,302
main,disease_disease,1,0.14290693621470893,0.02384716760039067,0.07109868268372316,151
main,disease_disease,2,0.19925438596491227,-0.15473978497456828,0.09253817871926943,150
main,disease_disease,3,0.25225877192982454,-0.039190520716678966,0.09464004310353073,150
main,disease_disease,4,0.30993421052631576,-0.1829049267205389,0.10397107908194865,150
main,disease_disease,5,0.3611842105263158,0.10584772064043205,0.06468222705155942,150
main,disease_disease,6,0.40339912280701756,-0.018653989936428226,0.07636139005978206,150
main,disease_disease,7,0.45063596491228075,0.0795692118245081,0.060020660527491866,150
main,disease_disease,8,0.4995614035087717,0.16801669531123578,0.039627270145188714,150
main,disease_disease,9,0.5442982456140352,0.0763354286769078,0.06967265409078809,150
main,disease_disease,10,0.5835526315789474,0.15490186901291342,0.044442212482924896,150
main,disease_disease,11,0.622280701754386,0.1166863452057571,0.06471463896050388,150
main,disease_disease,12,0.6624122807017543,0.20216839010340823,0.04091928077882777,150
main,disease_disease,13,0.704342105263158,0.051229839378476416,0.07748813083856439,150
main,disease_disease,14,0.7432894736842106,0.12367437969430464,0.045283425052278975,150
main,disease_disease,15,0.7845175438596491,0.1794014488188227,0.040813102423263345,150
main,disease_disease,16,0.8258771929824561,0.1814361111389759,0.037312102416456105,150
main,disease_disease,17,0.8740789473684212,0.0024679678892562357,0.050822398063382616,150
main,disease_disease,18,0.9382894736842105,0.09349098666965508,0.04643057764255036,150
main,disease_herb,0,0.023875939671883128,-0.09874029483932503,0.020357108749630357,1627
main,disease_herb,1,0.07401541298283768,-0.059612915073306454,0.020718315389091108,1627
main,disease_herb,2,0.12415488629379226,-0.06428683486660003,0.021246053277613305,1627
main,disease_herb,3,0.17429435960474682,-0.09457534247708553,0.020967576417929554,1627
main,disease_herb,4,0.2244338329157014,-0.031326181262971854,0.024673860652802325,1627
main,disease_herb,5,0.27457330622665593,-0.07345883635079942,0.022952045316085044,1627
main,disease_herb,6,0.3246966363894408,-0.06273329692657839,0.022783699140413935,1626
main,disease_herb,7,0.37482259437978993,-0.024539890269998622,0.02475354982343099,1626
main,disease_herb,8,0.4249308118081181,0.012234021547574421,0.02514008836344344,1626
main,disease_herb,9,0.47503902923644614,-0.022316025483458457,0.024218951673619503,1626
main,disease_herb,10,0.5251472466647743,0.021778929062511422,0.025211407305828677,1626
main,disease_herb,11,0.5752554640931025,0.0015235373770692388,0.026112989057207357,1626
main,disease_herb,12,0.6253636815214306,0.03881666976514859,0.026538154745678177,1626
main,disease_herb,13,0.6754807692307692,0.055921564030677204,0.026741658625647816,1626
main,disease_herb,14,0.7255978569401078,0.08470907190448954,0.028009359609792183,1626
main,disease_herb,15,0.775706074368436,0.007475145693542171,0.02524467013042387,1626
main,disease_herb,16,0.8258142917967641,0.0688744785469057,0.026577379498123797,1626
main,disease_herb,17,0.8759225092250923,0.06130336438496873,0.027148601144267665,1626
main,disease_herb,18,0.9260307266534203,0.06577569844837118,0.026201887349855735,1626
main,disease_herb,19,0.9761389440817485,0.1134366696331891,0.027253599764424503,1626
repeat_median_rank_consensus,herb_herb,0,0.09288012089862793,-0.05393515348090628,0.011949839791669381,4337
repeat_median_rank_consensus,herb_herb,1,0.17988060149289803,-0.026017828320602104,0.011762814392542337,4337
repeat_median_rank_consensus,herb_herb,2,0.23871534095802158,-0.02174683200347947,0.011982748368083617,4337
repeat_median_rank_consensus,herb_herb,3,0.287015898502935,-0.02578247718248324,0.01186211211314966,4337
repeat_median_rank_consensus,herb_herb,4,0.32903956152023356,-0.005934940950156738,0.012003309432472636,4337
repeat_median_rank_consensus,herb_herb,5,0.3675798883798973,-0.024129667400639713,0.01178455256594134,4337
repeat_median_rank_consensus,herb_herb,6,0.4030392726080712,0.004084232839580622,0.011853967805374935,4337
repeat_median_rank_consensus,herb_herb,7,0.43636612393776164,-0.009554977779016895,0.011786750122132789,4337
repeat_median_rank_consensus,herb_herb,8,0.4687049790121982,0.0035390516351872523,0.012029472214434499,4337
