analysis,bin_id,x_mean,null_mean,null_median,null_mean_within_bin_sem,null_sem_across_permutations,null_q025,null_q975,n_permutations,mean_pairs_per_bin
disease_disease,0,0.05313262460787729,-0.0020478195620807858,0.0012676191135110948,0.054661256939651355,0.0016309428245246834,-0.10688736529725835,0.0898270477244948,1000,302.0
disease_disease,1,0.14290693621470887,-0.0013006563748109534,0.0013967810504089155,0.0764958196298039,0.002454727007971595,-0.16169516272185966,0.1390938824433298,1000,151.0
disease_disease,2,0.19925438596491227,-0.0018233779058202072,0.000114492044667532,0.07673209399029304,0.002330100872675875,-0.14968886909581117,0.1395903576524606,1000,150.0
disease_disease,3,0.2522587719298245,-0.0014003458583732435,0.003001151926544242,0.07708363476540726,0.002379675813793071,-0.15304017799256436,0.13874001950483644,1000,150.0
disease_disease,4,0.30993421052631565,0.001177763363214666,0.0015151303332951145,0.07622752407109236,0.002417964103536331,-0.15030011636680402,0.14617791441647615,1000,150.0
disease_disease,5,0.36118421052631583,-0.00474631284549108,-9.53251108747703e-06,0.07770458628895147,0.002478353972310602,-0.16293522249321743,0.13943713663168386,1000,150.0
disease_disease,6,0.4033991228070175,-0.00525997083447046,-0.002470422575083761,0.07727072644903901,0.002403430333571545,-0.16191770219393034,0.12960306290093646,1000,150.0
disease_disease,7,0.45063596491228075,0.0007078474230431987,0.007473258327699666,0.07646117395027961,0.0024350581103322923,-0.1549428309018823,0.13514570718195176,1000,150.0
disease_disease,8,0.4995614035087719,0.0007015166339168704,0.007149593467465535,0.07661824419643812,0.0024118548415130725,-0.15110585605203541,0.13675587977593998,1000,150.0
disease_disease,9,0.5442982456140352,-0.0011135360711263587,0.0005712356825368363,0.0763958120733815,0.0023043441015348273,-0.1531923292953295,0.1309473223759718,1000,150.0
disease_disease,10,0.5835526315789475,0.0022073797645097586,0.006575249437838084,0.0761785004340228,0.002400308779504642,-0.15560891229539886,0.13662697110843522,1000,150.0
disease_disease,11,0.622280701754386,0.0028773795796226916,0.006549409464217281,0.0760844092273361,0.002334642416557552,-0.14741020440346148,0.13996257386492147,1000,150.0
disease_disease,12,0.6624122807017543,-0.002972936576424655,0.004282109960553063,0.0771443949476,0.0023556185046405696,-0.15724668400285127,0.1284178200217231,1000,150.0
disease_disease,13,0.7043421052631581,0.0009998113776233874,0.006081029416532123,0.076341344478424,0.002374935263938925,-0.15212368642777632,0.1374255001999687,1000,150.0
disease_disease,14,0.7432894736842107,-0.0011531594047993182,0.0038238488420709663,0.07649640562037666,0.002364838665147306,-0.15928220321026218,0.1341457852672396,1000,150.0
disease_disease,15,0.7845175438596493,0.0007755748158494795,0.00556684076370269,0.07640200591909309,0.002430645759573292,-0.15628369890600813,0.13735092966257217,1000,150.0
disease_disease,16,0.8258771929824563,0.005733769093634728,0.008312420975046544,0.0758465972753604,0.0023593368299567306,-0.14955136417260975,0.14069900472200753,1000,150.0
disease_disease,17,0.8740789473684211,0.0047713994032447925,0.008627419312732023,0.07574131171685951,0.002351470858040023,-0.15108706439115996,0.14282620763931686,1000,150.0
disease_disease,18,0.9382894736842107,0.00394946884414477,0.006097700991540443,0.07593930424206298,0.0024283412957893068,-0.1480188044352199,0.15100184085341087,1000,150.0
disease_herb,0,0.02387593967188312,0.0013574831217236778,-0.0022756313028507256,0.02468605833931281,0.001628787643320385,-0.09161260541073783,0.1046699584398475,1000,1627.0
disease_herb,1,0.07401541298283766,0.0021144410868211318,0.0007335639823738367,0.024788789940622877,0.0013778318093425569,-0.07487528717465239,0.08962865480519203,1000,1627.0
disease_herb,2,0.12415488629379225,0.0027107592034639172,0.0030379619269277148,0.02480736481862686,0.001300610991470965,-0.07499614860728415,0.08088139732550484,1000,1627.0
disease_herb,3,0.17429435960474676,0.0029827549591186124,0.0031651699902751785,0.024801318645959386,0.001306399002907907,-0.07456569140235086,0.08363605995499081,1000,1627.0
disease_herb,4,0.22443383291570132,0.00137987077027289,0.0014265247399673628,0.024780768450859574,0.0011652927794669928,-0.06911991036234552,0.07629815160921731,1000,1627.0
disease_herb,5,0.2745733062266559,0.001806375750955467,0.00025368812616096705,0.024764327073431767,0.001146890547289781,-0.06525783452854046,0.07203939110023296,1000,1627.0
disease_herb,6,0.3246966363894409,0.0009193497247145215,-0.0007913917844683055,0.02478744996957439,0.0010835259161181743,-0.06308157338405801,0.07328230136379123,1000,1626.0
disease_herb,7,0.3748225943797899,-0.0008810367842809235,-0.0015991370145317428,0.024696428222049847,0.0010402451189044642,-0.06541558990573045,0.06751860279479842,1000,1626.0
disease_herb,8,0.4249308118081182,0.00021187455965905028,-0.0023464788080126498,0.02476884668237718,0.0009567319064399539,-0.05493293722048187,0.060874324410762196,1000,1626.0
disease_herb,9,0.475039029236446,0.0004066070809971053,-0.00042466411266881834,0.024771351906489856,0.000955915805600421,-0.053875227235805165,0.05928630176113416,1000,1626.0
disease_herb,10,0.5251472466647743,-0.0007273409010357856,-0.00015486851949200547,0.024712035833689843,0.0009225815355056016,-0.05798960019413983,0.05724550993107229,1000,1626.0
disease_herb,11,0.5752554640931022,-0.0008453773069402689,-0.0021984627750777754,0.02473216946096982,0.0009465172490560504,-0.0582504670595411,0.058283477872465565,1000,1626.0
disease_herb,12,0.6253636815214306,-0.0013156378869724412,-0.0023058640638489473,0.024691912914635277,0.0009704471577026847,-0.06037781490568108,0.06236464992926294,1000,1626.0
disease_herb,13,0.6754807692307693,-0.0006369186401320215,-0.002088208259329207,0.02469621305509523,0.0010435742734932736,-0.06118306351723138,0.06407265223651654,1000,1626.0
disease_herb,14,0.7255978569401079,-0.0012784817176292478,-0.0008235639210009581,0.024689183851133053,0.001181657923980544,-0.07106641727968871,0.07657856002406038,1000,1626.0
disease_herb,15,0.7757060743684362,-0.0006998358120228671,-0.0018583490017763144,0.0246781570566454,0.0013028760739851172,-0.07709113099971464,0.08190292328582864,1000,1626.0
