k,mean_nn_jaccard,std_nn_jaccard,n_repeat_pairs,random_baseline_jaccard
5,0.20476212522045856,0.012056263359092729,45,0.001252191334835963
10,0.26202209168540436,0.013353865606347359,45,0.0025075225677031092
20,0.33376340038680646,0.013414009939219746,45,0.005027652086475616
50,0.44229987692519157,0.01334835475395027,45,0.012664640324214792
100,0.517515726152748,0.01336005781563026,45,0.025654181631605953
200,0.5939030589801205,0.012066557532812336,45,0.0526592943654555
