record_index_in_selected_data,mean_nn_jaccard_at_20,n_repeat_pairs
0,0.4251445098843442,45
1,0.21629598629814437,45
2,0.3403950339063428,45
3,0.3003993294235902,45
4,0.3163719925906669,45
5,0.24143207953714066,45
6,0.39622212314070687,45
7,0.43250072901413905,45
8,0.4314408156467234,45
9,0.43579175641903306,45
10,0.26532913830237653,45
11,0.5291271200649844,45
12,0.3401920544673702,45
13,0.41755746745735606,45
14,0.2476119832055392,45
15,0.4303000025364743,45
16,0.4551022895998793,45
17,0.5426347306607179,45
18,0.45077904234127186,45
19,0.5009168458776987,45
20,0.3868893705798909,45
21,0.21944233008504624,45
22,0.24264190569698385,45
23,0.24694094013517073,45
24,0.24683305288007687,45
25,0.3571140173508091,45
26,0.4061287812925435,45
27,0.23164815992794788,45
28,0.3991775141002677,45
29,0.2247241913790343,45
30,0.39023010940820857,45
31,0.27496768925844084,45
32,0.31225848813611545,45
33,0.18814083546265045,45
34,0.15341391516025407,45
35,0.18926618888995383,45
36,0.4154454969310982,45
37,0.29343834552417797,45
38,0.17198508388455705,45
39,0.30278795655394214,45
40,0.30572668757943616,45
41,0.4282378075011864,45
42,0.5872597468732739,45
43,0.3971195362358383,45
44,0.40055218702481094,45
45,0.490083790473112,45
46,0.12190712995833002,45
47,0.3193078886467329,45
48,0.22609868993558707,45
49,0.1969899755824605,45
50,0.26805139584226007,45
51,0.2765254432440922,45
52,0.5718058512461315,45
53,0.17562119128410536,45
54,0.23352304030016877,45
55,0.495784899171378,45
56,0.3731132031428658,45
57,0.5829694513752487,45
58,0.28944422655408736,45
59,0.1845758101708699,45
60,0.5220114289794506,45
61,0.5531535114277079,45
62,0.21791946868175355,45
63,0.26933873017502613,45
64,0.49525971665219237,45
65,0.39562042666726893,45
66,0.2960694834494336,45
67,0.18654986084699107,45
68,0.5376664943881336,45
69,0.4301308353663548,45
70,0.1589614810560913,45
71,0.17412503555511893,45
72,0.1919974467710686,45
73,0.31359494790976405,45
74,0.4066973403878607,45
75,0.2760939242970839,45
76,0.2695114085820535,45
77,0.4267378089896937,45
78,0.6081362357757498,45
79,0.3352807729754289,45
80,0.5160325720106047,45
81,0.2953697619815384,45
82,0.33115128801323335,45
83,0.3002288520816006,45
84,0.16708674382032343,45
85,0.2921267445288325,45
86,0.31372391952302825,45
87,0.1957680557350986,45
88,0.1765735211588935,45
89,0.22739648358382314,45
90,0.3779128996253325,45
91,0.15862340382347506,45
92,0.37483143968810667,45
93,0.4256409210110855,45
94,0.34321698980169785,45
95,0.22292010838943888,45
96,0.2416815532429602,45
97,0.45846595454925715,45
98,0.4117472601417725,45
99,0.13649390770300246,45
100,0.23987485852366486,45
101,0.17975483259946784,45
102,0.2453460080863805,45
103,0.4788610901728631,45
104,0.37631732820279273,45
105,0.19769620178089164,45
106,0.37125859164674996,45
107,0.23606599603458855,45
108,0.4918848776033626,45
109,0.324834876470681,45
110,0.4507312143858925,45
111,0.4621964470388643,45
112,0.28875760454130034,45
113,0.3263850953575193,45
114,0.1816663572225212,45
115,0.22195318236126102,45
116,0.5466302923574288,45
117,0.20724862875727668,45
118,0.5539569707752284,45
119,0.5322982458031601,45
120,0.3763410442239497,45
121,0.29590682560103915,45
122,0.40662203449745155,45
123,0.35334926497947144,45
124,0.5215440246406483,45
125,0.4233101779227103,45
126,0.26033516064514084,45
127,0.24814653595543032,45
128,0.48908908636195525,45
129,0.26958598937830536,45
130,0.29292918592139955,45
131,0.18391397341756124,45
132,0.3515751402397421,45
133,0.2096901857029209,45
134,0.7490950917037874,45
135,0.30423410734577094,45
136,0.22915251243284945,45
137,0.4342781260999034,45
138,0.23712459463538613,45
139,0.3320341990723024,45
140,0.2612327066982566,45
141,0.22425037431362532,45
142,0.4254394422587839,45
143,0.542763867015075,45
144,0.34013910661921887,45
145,0.19134933598797232,45
146,0.31782055594301906,45
147,0.24977436913575118,45
148,0.20065591882551664,45
149,0.3831258240836784,45
150,0.5271507890065279,45
151,0.31636297791539286,45
152,0.2786951769056068,45
153,0.2386100412962044,45
154,0.34085324656147725,45
155,0.20713447592931467,45
156,0.21873463407302746,45
157,0.3371241126105281,45
158,0.4949323303346291,45
159,0.4148317918974526,45
160,0.24353358591182758,45
161,0.34884719593473684,45
162,0.3528187554377877,45
163,0.3117762686797272,45
164,0.32433448526093217,45
165,0.5824734220869489,45
166,0.14231966198909174,45
167,0.27581132429184363,45
