Source,mode,n_repeats,n_cases,n_candidates,mean_rank,median_rank,hit_at_1,hit_at_1_sd,hit_at_1_ci95,hit_at_5,hit_at_5_sd,hit_at_5_ci95,hit_at_10,hit_at_10_sd,hit_at_10_ci95,hit_at_50,hit_at_50_sd,hit_at_50_ci95,hit_at_100,hit_at_100_sd,hit_at_100_ci95
Graph baseline,sampled_50,10,5090,50,18.3660510805501,16,0.05960707269155206,0.0027818094118069532,0.0017241833365294404,0.2138310412573674,0.0017082172981755736,0.0010587640505438254,0.3603339882121807,0.004263708924599887,0.0026426741704176624,1,0,0,1,0,0
Original,sampled_50,10,5090,50,13.73662082514735,10,0.0844204322200393,0.0025833289703067175,0.0016011638843666763,0.3143222003929273,0.00353325193923545,0.0021899322403374096,0.5110216110019646,0.003000245801800593,0.0018595716137134043,1,0,0,1,0,0
SVD baseline,sampled_50,10,5090,50,25.099037328094305,25.1,0.031198428290766207,0.0016274760515530126,0.0010087201074158861,0.11536345776031436,0.0023897246106139598,0.0014811666590194244,0.2106876227897839,0.0022858930547058824,0.0014168111939243714,1,0,0,1,0,0
