row_index,syndrome,Title,PC1_raw,PC2_raw,PC3_raw,PC1_scaled,PC2_scaled,PC3_scaled
62,寒邪犯胃证,丁香柿蒂汤,0.7889393488283112,0.5704155447417121,-0.29120106287805,0.5749393848616842,0.4766244072417649,-0.2829069424192326
150,寒邪犯胃证,丁附理中汤,0.7826529962468771,0.5311707591051937,-0.4607350821091651,0.5703582067374582,0.4438324841187627,-0.4476122169903078
156,寒邪犯胃证,丁胡三建汤,0.8949648666031251,-0.6850837151074491,0.832973712802894,0.6522054586855147,-0.5724381508079833,0.8092485785443393
437,寒邪犯胃证,丁香散,1.0695214829139366,-0.1989525831050948,-0.0297687878918082,0.7794135561828993,-0.1662396087656087,-0.0289208998029139
528,寒邪犯胃证,丁蔻散,0.6560063671793394,-0.0335048411547602,-0.2198610322400097,0.4780645023873892,-0.0279957746634483,-0.2135988508194624
681,寒邪犯胃证,丁香半夏丸,1.2588163900396276,0.5659179304554454,-0.0641083873757354,0.9173621800180868,0.4728663176122745,-0.0622824232736141
684,寒邪犯胃证,丁香半夏丸,1.0079584830925408,0.4404540786539591,-0.1197887182722279,0.7345495329850199,0.3680319831583818,-0.1163768417868275
738,寒邪犯胃证,丁香曲糵丸,1.1538345920976896,0.3628794776850776,-0.4006380160821937,0.8408567168033897,0.3032126623235128,-0.389226862795439
741,寒邪犯胃证,丁香汤,1.1536840396620656,0.4186602239007439,-0.4682672574571705,0.8407470017475294,0.3498216044283144,-0.4549298575112908
789,寒邪犯胃证,丁香汤,0.91268348962698,0.3386115055132071,-0.0325516198431234,0.6651179014950419,0.2829349753670416,-0.0316244698751936
792,寒邪犯胃证,丁香汤,1.1703583760984135,0.3282265323165148,-0.2879661907276697,0.8528984209256047,0.2742575616118882,-0.2797642073614129
803,寒邪犯胃证,丁香吴茱萸汤,1.154255164689374,0.51648603427293,-0.2258513779049074,0.8411632089913023,0.4315623096236841,-0.2194185767481421
1084,寒邪犯胃证,人参丸,0.5825109664586459,0.3606349018271692,-0.218746774400921,0.424504744538736,0.3013371530607539,-0.212516329776415
1144,寒邪犯胃证,人参丸,0.5825109664586459,0.3606349018271692,-0.218746774400921,0.424504744538736,0.3013371530607539,-0.212516329776415
