syndrome,PC1,PC2,PC3
Stomach Cold,0.6440270182947244,-0.258392135318701,0.5711596261311414
Stomach Cold,1.0625042148958117,-0.404826999935882,-0.0388943480447932
Stomach Cold,1.0619859342540057,0.12125209411611862,-0.161351494365884
Stomach Cold,1.149482295945761,0.01860859924944307,-0.174877774320689
Stomach Cold,1.0355385740676089,0.08345039362537182,-0.22024834823652
Stomach Cold,1.0141254368508985,0.0544686768713006,-0.25975081721876
Stomach Cold,0.9890095095221546,0.03738608077997834,-0.132075522341731
Stomach Cold,0.9520280716023765,0.31335260154683,-0.00924951106234289
Stomach Cold,0.762766585748029,0.102140759263884,-0.555371036135428
Stomach Cold,0.8241712213030182,0.8169800663757472,0.05440457392371457
Stomach Cold,1.1639822725161586,-0.111051301010721,-0.105492070353388
Stomach Cold,0.8778006121355061,0.0051885642570066535,0.16104554498280008
Stomach Cold,1.0481785194903244,0.159425037377885,-0.120935815952132
Stomach Cold,0.967986867686667,0.2379737993288112,-0.25476424731403
Stomach Cold,0.8847893368550227,0.2897368571659478,-0.234522261570112
Stomach Cold,1.047488260554837,0.007007481149556957,-0.0418543111091061
Stomach Cold,0.5845731046460403,-0.202371724251949,0.43531279920188937
Stomach Cold,1.0101229577100765,0.03996984987104846,-0.204373344680894
Stomach Cold,0.3297686517472413,0.1831517503053734,0.7072900535212927
Stomach Cold,0.13155378932487619,0.5640094626008808,0.16578142494587017
Stomach Cold,0.9394825348702878,-0.368926737336393,-0.412723620606302
Stomach Cold,1.0578104766708072,-0.298064060992119,-0.330760209263952
Stomach Cold,0.8090352636612477,-0.719011773599086,-0.314732634515041
Stomach Cold,1.0909910883967668,0.14005655925219912,-0.134683866609129
Stomach Cold,0.5978841517182014,-0.585304345919172,-0.726137766010367
Stomach Cold,0.747621319333394,0.48955706740685334,0.5311253921165104
Stomach Cold,1.0508658871152594,-0.566546058109588,0.02098941432017881
Stomach Cold,1.1112551807988,-0.102139464480656,-0.37847219767968
Stomach Cold,-0.00127694066717848,-0.584297674819599,0.2512476335711352
Stomach Cold,1.1707280660588255,-0.185608409639769,-0.0292253781489117
Stomach Cold,0.7803114562027511,0.21761441669728915,0.15218727509468433
Stomach Cold,0.009738356125575446,0.6271554003289233,-0.00643233253028716
Stomach Cold,0.912760649999434,-0.347735710962372,-0.261174047244748
Stomach Cold,-0.0088736017330043,0.6424831290479502,0.09525589032107487
Stomach Cold,0.7238336086301767,-0.685995861485407,-0.276334048101752
Stomach Cold,0.0484688741052759,0.42673049239481714,0.9363840374326688
Stomach Cold,0.8791078383504978,-0.292434631364006,0.352131952641848
Stomach Cold,0.5000423474003075,1.0065284189248658,0.35370315853523393
Stomach Cold,1.1569181753918447,-0.402517897194893,-0.216605724461332
Stomach Cold,0.7945586671734907,-0.613326221379142,0.025820009973562003
Stomach Cold,0.6774240278684766,0.43507743485920614,0.20219003841268626
Stomach Cold,0.4913843311288804,0.4672111687947036,0.4940828746622426
Stomach Cold,0.6318229097497436,0.633944000356449,-0.386637107124441
Stomach Cold,0.8436641850830564,-0.114833560527278,-0.599323048601096
Stomach Cold,1.1067358303754986,-0.322943729799461,-0.350165250691697
Stomach Cold,0.5860308895703061,-0.203103028412217,-0.507895114773379
Stomach Cold,0.4782566739398307,-0.319311330781514,-0.180047116882591
Stomach Cold,0.26806177188467856,-0.693799344317657,0.4920647539879999
Stomach Cold,0.6481560826556038,0.09218276703077088,-0.509000089213767
Stomach Cold,1.014893489641073,-0.467349059742346,0.1057213331801741
Stomach Cold,0.9756006033322466,-0.233158535799714,-0.48062575541649
Stomach Cold,-0.162659516713698,0.16782181813865227,0.7046709261503681
Stomach Cold,-0.19687304325325,0.14541005829971582,0.6717499812037728
Stomach Cold,0.7280488103288426,-1.02609326021068,0.10850135073316373
Stomach Cold,0.7193874118212982,-0.710275260370398,-0.322596413892782
Stomach Cold,1.0036227158326498,-0.066472270861364,-0.339064245386482
Stomach Cold,0.9226903426087172,-0.518895103676372,-0.272840522777709
Stomach Cold,1.1012699521521072,-0.576873208963864,-0.0245780251676498
Stomach Cold,0.6780884186752151,-0.626985513486771,-0.444774280079297
Stomach Cold,0.8455617103953472,0.04723124566876164,-0.179316478885019
Stomach Cold,1.1160234229821384,0.22208685145057283,-0.0747719624749799
Stomach Cold,1.0470468030094018,0.09829357106440026,-0.211333548459943
Stomach Cold,0.7647519751529135,0.5745987000913951,-0.0965434836427525
Stomach Cold,0.5484699758028974,0.8962965388051688,0.4581346315734471
Stomach Cold,1.0531067032530343,-0.391127436308247,0.0705586359103442
Stomach Cold,0.6154893441196787,0.017480854080576393,-0.522134596128592
Stomach Cold,0.6534996395340317,0.1123027333811512,0.46797016043413936
Stomach Cold,0.9312422983949759,-0.334146792966297,-0.340473982213468
Stomach Cold,0.5291299538389195,1.0121919497308987,0.5127383755249901
Stomach Cold,0.8712073373681102,-0.115567465013817,-0.260142803792311
Stomach Cold,1.017066904707324,0.04291894791357032,-0.257723079734558
Stomach Cold,1.0268791544946934,-0.186552018689617,-0.350156338489719
Stomach Cold,-0.274498562209415,-0.178299605657319,-0.146103382156766
Stomach Cold,0.8677845086637411,-0.178847623297706,-0.402882089683036
Stomach Cold,1.2240876000829568,-0.254307876796034,-0.171564446220448
Stomach Cold,0.8435662866339159,-0.496332783743496,-0.453413619761352
Stomach Cold,0.4216144881288587,-0.030517714412975,0.6694876429672743
Stomach Cold,0.4963499582616929,0.9407001587932877,0.5901894495138712
Stomach Cold,0.8154703066023878,0.18071590783582905,-0.142078142941064
Stomach Cold,1.0858158555582744,0.12996135922505248,-0.162135005291265
Stomach Cold,0.8679915461969854,-0.195236649897551,0.5254125013022577
Stomach Cold,0.8381324547083712,0.5261050689463818,0.39121119136573973
Stomach Cold,1.1105827837923807,-0.360440063687885,-0.0394388502870905
Stomach Cold,0.9419110545128674,-0.136443583171124,0.33861209169766093
Stomach Cold,0.9393228877094274,-0.173498625867771,-0.185489043219039
Stomach Cold,0.7153415822028818,-0.873143317754519,-0.0911322209697025
Stomach Cold,0.2836478383289831,1.1944524813434125,0.271733136513467
Stomach Cold,1.0810255832203584,-0.275655516094026,-0.0579441375343839
Stomach Cold,-0.332589129464609,-0.393821529788783,1.202155197344165
Stomach Cold,1.0830037597366895,-0.0378782309843628,-0.13871949950045
Stomach Cold,0.16561155743785533,-0.867998378865669,1.0969517343460848
Stomach Cold,0.7798434490713321,-0.148200665752691,0.12384251409405776
Stomach Cold,0.7636707011514934,-0.203006057208805,0.24154095009623588
Stomach Cold,0.804819840857319,-0.0312685241452399,-0.151505814092121
Stomach Cold,0.9633576550806541,-0.520793664821392,-0.50079717778226
Stomach Cold,0.9091979701296371,-0.567762985378465,-0.347142476841709
Stomach Cold,0.8559028164052644,-0.168422018034141,-0.361297085517458
Stomach Cold,1.1515090217174688,-0.135404773788477,-0.325315860579679
Stomach Cold,0.956056799728692,-0.698594792339058,0.3566552784587655
Stomach Cold,0.7732324772392368,-0.283314693155398,-0.524574186119235
Stomach Cold,1.1259773794770942,-0.0133607925624439,-0.254499280287932
Stomach Cold,0.6937884961840636,0.14771449958911703,0.3673865440583009
Stomach Cold,1.1405208879298583,-0.292824386767811,-0.248261479460047
Stomach Cold,0.7245112786422772,-0.48373015815733,-0.358785210993125
Stomach Cold,0.1840914746309375,0.32396894798871223,-0.219278003827639
Stomach Cold,0.9206492394150317,-0.72271138443277,-0.288981374182106
Stomach Cold,0.6913849212520201,-0.601864364092953,-0.211712428233167
Stomach Cold,0.6965905918826796,0.38041763717130256,0.22872707864917172
Stomach Cold,0.9299525409366401,0.012698279602980311,-0.0216366417615269
Stomach Cold,0.787564808950945,0.39964603736158955,0.004552293409807779
Stomach Cold,0.9319286223526777,-0.575697514231873,0.2511159188885326
Stomach Cold,1.067975698475277,0.09609515843559928,-0.120884863009253
Stomach Cold,1.0835584121527915,-0.135613388513077,-0.371555716995271
Stomach Cold,0.5266398958479731,0.5673157750485699,0.006744853212017895
Stomach Cold,0.8827158835544029,-0.529733607509732,-0.419778067710506
Stomach Cold,0.38395938411304076,0.8605678934741916,0.4154129966738932
Stomach Cold,0.7875768123199177,0.6335388495673162,0.005783091533174252
Stomach Cold,1.0136813999891545,-0.15703406446048,-0.281503181822815
Stomach Cold,0.6953105774951519,0.5848855167031771,-0.360684139607097
Stomach Cold,0.4674129202555836,-0.443156534229703,-0.717958937678135
Stomach Cold,0.8759775076644287,0.13906278320956705,-0.274874550304576
Stomach Cold,0.8399528802560795,-0.335800954019238,-0.443029429329645
Stomach Cold,1.007887886896336,-0.461071401278706,0.05540761258127556
Stomach Cold,1.067975698475277,0.09609515843559928,-0.120884863009253
Stomach Cold,1.0762988899679038,0.13751002519461406,-0.150363375862082
Stomach Cold,0.8831378646090449,0.3367364183185531,-0.358861302977532
Stomach Cold,0.18328504296757311,-0.275419568744896,0.9274059747898075
Stomach Cold,1.0928757541566092,0.06768625191288272,-0.326802181938641
Stomach Cold,1.1027235295784212,-0.30434653284769,-0.497113307285805
Stomach Cold,1.0073279568417104,-0.0753932156349845,-0.29201481806997
Stomach Cold,0.9900109045278828,-0.16501407749821,-0.248376343444915
Stomach Cold,0.8702540401259711,-0.282462558137953,-0.566443945852485
Stomach Cold,1.204166815648253,-0.295557939923402,-0.201062014458292
Stomach Cold,1.036178424647865,-0.558073876920932,-0.717395927344088
Stomach Cold,0.053422685634239,-0.829775756716661,-0.118833931900775
Stomach Cold,1.0868885216521753,-0.196684310348207,-0.017925628968824
Stomach Cold,0.7290648849435902,0.18691211893424084,-0.671303432782413
Stomach Cold,1.2334202298847543,-0.358693198258121,-0.173155907496983
Stomach Cold,0.9958519543236952,-0.303838330121358,-0.568211457893649
