source,top_k,module,pc,mean_column_share,sd_column_share,q025_column_share,q975_column_share,n_permutations
main_permuted,200,homeostatic,1,0.333554653884801,0.024300312811078393,0.2887999579029184,0.38409635386880914,1000
main_permuted,200,homeostatic,2,0.3339268557810605,0.023387107510125373,0.29133133327886784,0.3766640796202221,1000
main_permuted,200,homeostatic,3,0.3350162972363906,0.026233339236598135,0.28776056863734445,0.388839981390089,1000
main_permuted,200,immune,1,0.33260629605259007,0.02180212388578102,0.289141690241759,0.3735017189291285,1000
main_permuted,200,immune,2,0.33196644869704534,0.02214073837207565,0.28857099378318984,0.375596131523372,1000
main_permuted,200,immune,3,0.3312583988751594,0.02170391105940305,0.2882665249224758,0.3743801680521186,1000
main_permuted,200,metabolic,1,0.333839050062609,0.02427171718842454,0.29212246830798727,0.3853619640399868,1000
main_permuted,200,metabolic,2,0.3341066955218942,0.02409174872190775,0.29038242381173196,0.38438850957659204,1000
main_permuted,200,metabolic,3,0.33372530388845,0.024447858606836216,0.2890981609342657,0.3859949861847115,1000
repeat_mean_permuted,200,homeostatic,1,0.3337962658874246,0.017491227520161922,0.30304407833020547,0.36885455498409864,1000
repeat_mean_permuted,200,homeostatic,2,0.33330940836459605,0.016486861407421474,0.30096378178919075,0.36645978766421056,1000
repeat_mean_permuted,200,homeostatic,3,0.3340094493872498,0.017441328319177843,0.30124854989591604,0.36896978738519814,1000
repeat_mean_permuted,200,immune,1,0.33213582945691683,0.015527445272780417,0.30068797621461224,0.36230074214711316,1000
repeat_mean_permuted,200,immune,2,0.3326621415109394,0.015138598069796118,0.30408771127731404,0.3621308389618927,1000
repeat_mean_permuted,200,immune,3,0.33199964414555455,0.015150999371271763,0.30228652424805613,0.36116857504261896,1000
repeat_mean_permuted,200,metabolic,1,0.33406790465565855,0.016926355014975757,0.30404735824760815,0.37160117554022154,1000
repeat_mean_permuted,200,metabolic,2,0.3340284501244645,0.016284177251513175,0.30477102152011465,0.3660363393613895,1000
repeat_mean_permuted,200,metabolic,3,0.33399090646719565,0.016664174445542454,0.3041287180869,0.3684526057180422,1000
